,PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
13,761.4357321299058,765.5453779644557,765.5453779644557,765.5453779644557,992.2638944851856,992.2638944851856,942.0364788997232,1037.865603538042,1037.865603538042,1050.9562658679552,1050.9562658679552,886.7201272946378
14,762.2615843339512,765.5453779644557,765.5453779644557,765.5453779644557,993.3401026136944,993.3401026136944,943.05821043866,1037.865603538042,1037.865603538042,1050.9562658679552,1050.9562658679552,886.7201272946378
15,762.0551212829398,766.0653789004458,766.0653789004458,766.0653789004458,993.0710505815672,993.0710505815672,942.802777553926,1038.5705794947994,1038.5705794947994,1051.670133729569,1051.670133729569,887.3224368499256
16,762.4680473849626,766.1693790876437,766.1693790876437,766.1693790876437,993.6091546458216,993.6091546458216,943.3136433233942,1038.7115746861507,1038.7115746861507,1051.8129073018918,1051.8129073018918,887.4428987609831
17,761.642195180917,766.1693790876437,766.1693790876437,766.1693790876437,992.5329465173128,992.5329465173128,942.2919117844576,1038.7115746861507,1038.7115746861507,1051.8129073018918,1051.8129073018918,887.4428987609831
18,762.8809734869852,766.3773794620398,766.3773794620398,766.3773794620398,994.1472587100762,994.1472587100762,943.8245090928626,1038.9935650688537,1038.9935650688537,1052.0984544465373,1052.0984544465373,887.6838225830982
19,761.2292690788944,766.1693790876437,766.1693790876437,766.1693790876437,991.9948424530584,991.9948424530584,941.7810460149892,1038.7115746861507,1038.7115746861507,1051.8129073018918,1051.8129073018918,887.4428987609831
20,761.8486582319284,766.6893800236337,766.6893800236337,766.6893800236337,992.80199854944,992.80199854944,942.5473446691916,1039.416550642908,1039.416550642908,1052.5267751635056,1052.5267751635056,888.0452083162709
21,761.8486582319284,766.7933802108317,766.7933802108317,766.7933802108317,992.80199854944,992.80199854944,942.5473446691916,1039.5575458342594,1039.5575458342594,1052.6695487358284,1052.6695487358284,888.1656702273284
22,761.642195180917,766.6893800236337,766.6893800236337,766.6893800236337,992.5329465173128,992.5329465173128,942.2919117844576,1039.416550642908,1039.416550642908,1052.5267751635056,1052.5267751635056,888.0452083162709
23,762.0551212829398,767.0013805852278,767.0013805852278,767.0013805852278,993.0710505815672,993.0710505815672,942.802777553926,1039.8395362169624,1039.8395362169624,1052.955095880474,1052.955095880474,888.4065940494435
24,762.2615843339512,767.0013805852278,767.0013805852278,767.0013805852278,993.3401026136944,993.3401026136944,943.05821043866,1039.8395362169624,1039.8395362169624,1052.955095880474,1052.955095880474,888.4065940494435
25,761.2292690788944,767.2093809596238,767.2093809596238,767.2093809596238,991.9948424530584,991.9948424530584,941.7810460149892,1040.1215265996652,1040.1215265996652,1053.2406430251194,1053.2406430251194,888.6475178715586
26,761.642195180917,766.8973803980297,766.8973803980297,766.8973803980297,992.5329465173128,992.5329465173128,942.2919117844576,1039.698541025611,1039.698541025611,1052.8123223081511,1052.8123223081511,888.2861321383859
27,762.0551212829398,767.2093809596238,767.2093809596238,767.2093809596238,993.0710505815672,993.0710505815672,942.802777553926,1040.1215265996652,1040.1215265996652,1053.2406430251194,1053.2406430251194,888.6475178715586
28,761.2292690788944,766.8973803980297,766.8973803980297,766.8973803980297,991.9948424530584,991.9948424530584,941.7810460149892,1039.698541025611,1039.698541025611,1052.8123223081511,1052.8123223081511,888.2861321383859
29,762.4680473849626,767.1053807724257,767.1053807724257,767.1053807724257,993.6091546458216,993.6091546458216,943.3136433233942,1039.980531408314,1039.980531408314,1053.0978694527967,1053.0978694527967,888.5270559605011
30,761.2292690788944,767.2093809596238,767.2093809596238,767.2093809596238,991.9948424530584,991.9948424530584,941.7810460149892,1040.1215265996652,1040.1215265996652,1053.2406430251194,1053.2406430251194,888.6475178715586
31,761.8486582319284,767.2093809596238,767.2093809596238,767.2093809596238,992.80199854944,992.80199854944,942.5473446691916,1040.1215265996652,1040.1215265996652,1053.2406430251194,1053.2406430251194,888.6475178715586
32,760.8163429768716,767.5213815212177,767.5213815212177,767.5213815212177,991.4567383888038,991.4567383888038,941.2701802455208,1040.5445121737196,1040.5445121737196,1053.6689637420877,1053.6689637420877,889.0089036047312
33,761.022806027883,767.4173813340198,767.4173813340198,767.4173813340198,991.7257904209312,991.7257904209312,941.5256131302548,1040.4035169823683,1040.4035169823683,1053.526190169765,1053.526190169765,888.8884416936737
34,762.2615843339512,767.3133811468217,767.3133811468217,767.3133811468217,993.3401026136944,993.3401026136944,943.05821043866,1040.2625217910168,1040.2625217910168,1053.3834165974422,1053.3834165974422,888.7679797826162
35,761.2292690788944,767.3133811468217,767.3133811468217,767.3133811468217,991.9948424530584,991.9948424530584,941.7810460149892,1040.2625217910168,1040.2625217910168,1053.3834165974422,1053.3834165974422,888.7679797826162
36,761.022806027883,766.2733792748418,766.2733792748418,766.2733792748418,991.7257904209312,991.7257904209312,941.5256131302548,1038.8525698775022,1038.8525698775022,1051.9556808742145,1051.9556808742145,887.5633606720406
37,761.022806027883,765.9613787132478,765.9613787132478,765.9613787132478,991.7257904209312,991.7257904209312,941.5256131302548,1038.429584303448,1038.429584303448,1051.5273601572462,1051.5273601572462,887.201974938868
38,760.8163429768716,766.3773794620398,766.3773794620398,766.3773794620398,991.4567383888038,991.4567383888038,941.2701802455208,1038.9935650688537,1038.9935650688537,1052.0984544465373,1052.0984544465373,887.6838225830982
39,761.4357321299058,766.5853798364358,766.5853798364358,766.5853798364358,992.2638944851856,992.2638944851856,942.0364788997232,1039.2755554515566,1039.2755554515566,1052.3840015911828,1052.3840015911828,887.9247464052133
40,761.4357321299058,766.0653789004458,766.0653789004458,766.0653789004458,992.2638944851856,992.2638944851856,942.0364788997232,1038.5705794947994,1038.5705794947994,1051.670133729569,1051.670133729569,887.3224368499256
41,761.2292690788944,766.5853798364358,766.5853798364358,766.5853798364358,991.9948424530584,991.9948424530584,941.7810460149892,1039.2755554515566,1039.2755554515566,1052.3840015911828,1052.3840015911828,887.9247464052133
42,760.8163429768716,766.2733792748418,766.2733792748418,766.2733792748418,991.4567383888038,991.4567383888038,941.2701802455208,1038.8525698775022,1038.8525698775022,1051.9556808742145,1051.9556808742145,887.5633606720406
43,760.403416874849,765.8573785260498,765.8573785260498,765.8573785260498,990.9186343245494,990.9186343245494,940.7593144760524,1038.2885891120964,1038.2885891120964,1051.3845865849235,1051.3845865849235,887.0815130278104
44,760.403416874849,766.3773794620398,766.3773794620398,766.3773794620398,990.9186343245494,990.9186343245494,940.7593144760524,1038.9935650688537,1038.9935650688537,1052.0984544465373,1052.0984544465373,887.6838225830982
45,759.7840277218148,766.0653789004458,766.0653789004458,766.0653789004458,990.1114782281678,990.1114782281678,939.9930158218496,1038.5705794947994,1038.5705794947994,1051.670133729569,1051.670133729569,887.3224368499256
46,759.1646385687808,765.8573785260498,765.8573785260498,765.8573785260498,989.304322131786,989.304322131786,939.226717167647,1038.2885891120964,1038.2885891120964,1051.3845865849235,1051.3845865849235,887.0815130278104
47,759.5775646708034,766.0653789004458,766.0653789004458,766.0653789004458,989.8424261960406,989.8424261960406,939.7375829371156,1038.5705794947994,1038.5705794947994,1051.670133729569,1051.670133729569,887.3224368499256
48,759.7840277218148,765.8573785260498,765.8573785260498,765.8573785260498,990.1114782281678,990.1114782281678,939.9930158218496,1038.2885891120964,1038.2885891120964,1051.3845865849235,1051.3845865849235,887.0815130278104
49,758.3387863647353,765.8573785260498,765.8573785260498,765.8573785260498,988.2281140032773,988.2281140032773,938.2049856287103,1038.2885891120964,1038.2885891120964,1051.3845865849235,1051.3845865849235,887.0815130278104
50,759.9904907728262,765.6493781516539,765.6493781516539,765.6493781516539,990.380530260295,990.380530260295,940.248448706584,1038.0065987293935,1038.0065987293935,1051.099039440278,1051.099039440278,886.8405892056953
51,759.9904907728262,766.6893800236337,766.6893800236337,766.6893800236337,990.380530260295,990.380530260295,940.248448706584,1039.416550642908,1039.416550642908,1052.5267751635056,1052.5267751635056,888.0452083162709
52,758.3387863647353,765.6493781516539,765.6493781516539,765.6493781516539,988.2281140032773,988.2281140032773,938.2049856287103,1038.0065987293935,1038.0065987293935,1051.099039440278,1051.099039440278,886.8405892056953
53,759.7840277218148,766.4813796492377,766.4813796492377,766.4813796492377,990.1114782281678,990.1114782281678,939.9930158218496,1039.134560260205,1039.134560260205,1052.24122801886,1052.24122801886,887.8042844941558
54,760.403416874849,766.0653789004458,766.0653789004458,766.0653789004458,990.9186343245494,990.9186343245494,940.7593144760524,1038.5705794947994,1038.5705794947994,1051.670133729569,1051.670133729569,887.3224368499256
55,759.7840277218148,766.2733792748418,766.2733792748418,766.2733792748418,990.1114782281678,990.1114782281678,939.9930158218496,1038.8525698775022,1038.8525698775022,1051.9556808742145,1051.9556808742145,887.5633606720406
56,759.9904907728262,766.2733792748418,766.2733792748418,766.2733792748418,990.380530260295,990.380530260295,940.248448706584,1038.8525698775022,1038.8525698775022,1051.9556808742145,1051.9556808742145,887.5633606720406
57,759.7840277218148,766.4813796492377,766.4813796492377,766.4813796492377,990.1114782281678,990.1114782281678,939.9930158218496,1039.134560260205,1039.134560260205,1052.24122801886,1052.24122801886,887.8042844941558
58,760.6098799258602,766.4813796492377,766.4813796492377,766.4813796492377,991.1876863566766,991.1876863566766,941.0147473607864,1039.134560260205,1039.134560260205,1052.24122801886,1052.24122801886,887.8042844941558
59,759.3711016197921,766.5853798364358,766.5853798364358,766.5853798364358,989.5733741639134,989.5733741639134,939.4821500523811,1039.2755554515566,1039.2755554515566,1052.3840015911828,1052.3840015911828,887.9247464052133
