,source,sink,reactance,limit
124,n_6650,n_29015,767.938956,7956.837781
125,n_8338,n_29228,6.260993796,3092.682612
126,n_9869,n_23788,5057.215339,27141.83304
127,n_9855,n_28996,186.3461703,3164.983498
128,n_6647,n_30416,581.7302651,1327.115334
129,n_9884,n_31012,882.2782335,1740.460175
130,n_7608,n_7607,204.6208174,3363.730187
131,n_13301,n_31027,20.49774173,6693.313988
132,n_16281,n_29255,305.2505928,872.140108
133,n_6978,n_28707,86.1526274,382.7671674
134,n_6930,n_28700,84.01440587,376.5556475
135,n_9859,n_9858,16.92263814,663.9349566
136,n_29873,n_29874,143.9515875,2675.418572
137,n_4481,n_10025,56.72101356,1459.083532
138,n_28502,n_28505,40.78768634,1177.191854
139,n_1514,n_6177,396.8155735,5176.95121
140,n_2106,n_30943,3292.687796,4102.043655
141,n_1837,n_1924,4.609936342,2533.879628
142,n_28108,n_28506,375.0021347,997.1737375
143,n_4045,n_20136,16.12939679,5726.377592
144,n_23805,n_9911,26.2245394,883.0222478
145,n_9946,n_9950,224.2500268,3570.423094
146,n_23795,n_23796,4409.355593,24824.52965
147,n_18310,n_9883,337.6867678,931.4027363
148,n_15782,n_31027,104.8401831,434.9491097
149,n_15628,n_15632,256.4815875,778.7004918
150,n_4095,n_21284,879.3605899,8690.515504
151,n_6658,n_6674,1090.318571,1997.662591
152,n_3,n_19163,121.0652043,477.661741
153,n_9440,n_9479,19.22705788,721.4729914
154,n_6687,n_30413,3272.223615,20443.51642
155,n_28664,n_30882,62428.13257,139375.1754
156,n_8330,n_28842,418.1598137,5356.568414
157,n_16289,n_29240,142.7526288,531.7519924
158,n_7061,n_7064,57.89935788,1478.745488
159,n_11742,n_15662,56.76721379,291.7375902
160,n_27917,n_27921,8421.44557,37828.53561
161,n_17246,n_26258,89.96254659,393.7033049
162,n_26274,n_28310,586.2448944,1333.811152
163,n_275,n_4531,1534.692757,111127.2433
164,n_4484,n_4496,31.07749315,986.2230656
165,n_18865,n_28766,450.5044869,5622.778177
166,n_14503,n_28300,2120.978013,3080.703569
167,n_12430,n_25047,156.7254964,2827.670088
168,n_9913,n_9921,91.26882036,1988.670034
169,n_9877,n_23790,27.8899989,919.1360383
170,n_9963,n_9966,94.05003198,2027.913834
171,n_7049,n_26833,128.9263888,497.6309588
172,n_29008,n_31015,42.37355021,1206.789636
173,n_6384,n_28635,1594.34488,2558.326245
174,n_1953,n_1987,23.07655359,7230.10941
175,n_15512,n_11742,117.3862612,468.1615156
176,n_4477,n_29803,404.7201103,5243.853955
177,n_9970,n_9983,29.15796515,946.1277234
178,n_14322,n_15629,298.9918918,860.4569445
179,n_9951,n_9952,1422.612374,11886.45054
180,n_6974,n_6980,2179.186947,3135.483933
181,n_9413,n_28669,12.26594977,538.4399712
182,n_23812,n_30400,39.99800821,1162.304178
183,n_14577,n_21560,93.86526081,404.7394633
184,n_1754,n_22541,10.43635322,484.6944778
185,n_6955,n_28704,96.57439691,2063.184128
186,n_9418,n_9419,799.415217,1632.223802
187,n_6706,n_23814,27.679412,914.6120919
188,n_9440,n_23586,263.9339929,3969.961376
189,n_14015,n_14021,562.0516184,1297.714554
190,n_6922,n_10051,32.54352068,1016.265623
191,n_9893,n_23802,8894.814015,39199.53601
192,n_10029,n_30949,25.70806924,871.6618568
193,n_6692,n_18710,569.9078583,1309.494539
194,n_18688,n_30525,3345.372352,20739.87663
195,n_3,n_28310,122.6326494,481.678704
196,n_18286,n_31015,703.4416949,1501.82858
197,n_9952,n_23827,23.39392014,819.7451916
198,n_6671,n_22544,1811.761631,13912.8663
199,n_6891,n_22779,242.4211614,3756.195918
200,n_9831,n_28668,164.1269955,2913.902497
201,n_18865,n_22779,15.686278,631.9406358
202,n_11744,n_11747,89.3544113,391.968694
203,n_9830,n_28993,84.01550909,1884.303408
204,n_13964,n_14006,348.5749003,950.8448009
205,n_26271,n_26272,815.2445747,1653.192025
206,n_9859,n_28766,154.9364867,2806.615273
207,n_9942,n_30065,117.7343487,2347.203785
208,n_20136,n_1960,81.49919401,1847.368909
209,n_30520,n_30521,173.1477732,3017.187028
210,n_1517,n_20897,650.1358609,7139.347255
211,n_8320,n_8324,15.35798395,623.298947
212,n_7557,n_29872,70.81334521,1685.845458
213,n_1834,n_6177,31.50542973,8854.610909
214,n_7065,n_29002,51.70468838,1373.72817
215,n_23845,n_30523,235.8010961,3689.097653
216,n_322,n_20895,49.5854085,1336.805454
217,n_9949,n_31015,23.27763857,817.0903103
218,n_16404,n_18693,75.0866782,349.9986022
219,n_6966,n_29661,113.5559131,458.1592055
220,n_10025,n_14003,244.3733531,754.5671986
221,n_2415,n_23859,337.7027073,4660.889534
222,n_18303,n_28842,16.39212154,129.9578028
223,n_15775,n_15776,4507.248971,5032.355175
224,n_998,n_9900,162.9578174,2900.372494
225,n_23795,n_9890,108.0543124,2219.697703
226,n_4507,n_28470,13.21929344,5030.685272
227,n_14030,n_26041,171.6151346,599.4742781
228,n_15664,n_28707,173.2322096,603.1455323
229,n_28669,n_22612,5.59066787,322.8432323
230,n_4540,n_11744,1370.52001,2318.394032
231,n_28310,n_3,122.7200092,481.9020559
232,n_1258,n_28625,174.7718779,606.6299499
233,n_18706,n_18709,202.7263998,668.1492384
234,n_7719,n_9967,65.71597391,1605.819068
235,n_14496,n_14497,719.6642932,1524.286026
236,n_15226,n_28662,35.47285852,214.8113799
237,n_4496,n_30852,45.39438503,1262.121643
238,n_9830,n_9832,136.5319893,2584.820736
239,n_9941,n_23813,357.1883165,4834.248035
240,n_23767,n_9823,217.0873579,3495.762377
241,n_4481,n_14593,471.8666792,1158.060473
242,n_30065,n_9928,49.7422852,1339.557238
243,n_10019,n_10018,1738.099365,13541.95568
244,n_31012,n_30494,60.1776141,303.0309794
245,n_1851,n_13431,285.5290343,835.0321511
246,n_6705,n_6707,279.9657981,4125.32496
247,n_29024,n_30525,2941.917333,19075.29468
248,n_7601,n_22817,515.0537448,6134.918991
249,n_14502,n_28300,198.4900098,3297.772455
250,n_7601,n_22814,179.5713471,3089.592032
251,n_7045,n_15666,63.63855503,314.2655595
252,n_14522,n_28306,1602.615468,2566.95799
253,n_26276,n_28305,1441.172592,2395.515468
254,n_6669,n_9412,62.50028488,1554.218245
255,n_4532,n_10023,143.9299448,2675.156707
256,n_10051,n_23858,58.96812223,1496.458523
257,n_30897,n_30898,6.886212207,3290.378231
258,n_9841,n_23774,27893.8325,16485.44589
259,n_10014,n_18690,288.4465719,840.5768612
260,n_6913,n_31027,15.10840617,5487.719743
261,n_9933,n_30066,68.4140767,1648.437646
262,n_10017,n_29021,1020.573711,9575.258617
263,n_6177,n_22542,1048.157342,9742.949736
264,n_4093,n_7046,926.773591,1797.110217
265,n_29011,n_23825,150.335633,2752.074205
266,n_29239,n_30640,7091.664554,6759.458959
267,n_23600,n_6661,46.66527635,1285.013867
268,n_1258,n_28107,95.9767415,410.6434823
269,n_9881,n_28663,31.21007455,988.9600352
270,n_26302,n_26303,611.8993784,1371.524453
271,n_6967,n_6972,3147.658421,3983.49974
272,n_16281,n_18691,118.4365527,470.8841754
273,n_18293,n_18290,52.92339188,278.7208776
274,n_6687,n_7062,57.41180051,1470.627161
275,n_18689,n_22611,14.0515487,588.2491017
276,n_29018,n_29019,31.31592266,991.1422191
277,n_10024,n_11731,38.01220026,224.7008659
278,n_26268,n_28300,22623.29635,14384.36677
279,n_6697,n_22546,220.1135822,3527.409798
280,n_17633,n_29477,125.9771855,490.1905055
281,n_6955,n_28703,184.9268831,3149.269705
282,n_20881,n_30304,788.5737995,1617.779146
283,n_2416,n_2417,52.55499049,1388.393309
284,n_9902,n_9909,80.38902143,365.8962398
285,n_26302,n_29293,131.9220909,505.128156
286,n_9426,n_23802,39.16560328,1146.499477
287,n_9454,n_23779,24702.62052,76219.92787
288,n_9488,n_23600,167.0758309,2947.878611
289,n_28471,n_28502,22.67461448,803.2473576
290,n_23804,n_30061,23.60594343,824.5741765
291,n_14502,n_26265,278.9395783,822.4357279
292,n_3,n_28779,102.9004036,429.6931053
293,n_28311,n_28779,400.6808691,1041.110342
294,n_22537,n_30518,750.6172746,1566.651312
295,n_6661,n_31010,77.55769395,1788.704604
296,n_23771,n_23772,15.33854268,622.7851831
297,n_9945,n_23819,209.516233,3415.903008
298,n_6647,n_28664,1313.750543,2255.416591
299,n_14522,n_28307,4631.602363,5122.310753
300,n_26272,n_28303,181.0685593,620.7699567
301,n_9440,n_23773,129.8912078,2502.264667
302,n_1517,n_28509,27.93718098,920.1479932
303,n_9901,n_9905,63.85315881,1576.037536
304,n_18869,n_23842,472.3897256,5799.124218
305,n_13964,n_28275,544.5656965,1271.286983
306,n_13843,n_29240,1251.794684,10936.71445
307,n_319,n_19222,249.9077739,3831.311389
308,n_7049,n_28707,105.1833504,2181.123817
309,n_14576,n_26302,2233.133747,15941.76179
310,n_6707,n_6711,238.111491,3712.588659
311,n_1918,n_22421,103.8456753,432.2586825
312,n_6913,n_28504,41.01667639,1181.490099
313,n_1572,n_1575,125.7101362,489.5137899
314,n_23856,n_30493,206.1713033,3380.301139
315,n_23772,n_28994,227.8115749,3607.236859
316,n_26303,n_14569,1599.44163,2563.6474
317,n_28505,n_30343,1022.501616,9587.030058
318,n_6191,n_18291,83.72243275,375.7032092
319,n_4479,n_30205,445.5361693,1115.572188
320,n_28699,n_17633,181.5365363,621.8139494
321,n_6968,n_26833,34.60683745,211.3826182
322,n_4478,n_30957,27.17645988,903.7584894
323,n_9874,n_9876,29.2431417,947.9260661
324,n_22428,n_1998,512.9985777,6118.971689
325,n_20880,n_20881,534.1486424,1255.402281
326,n_2042,n_23859,424.3616371,1080.76452
327,n_6132,n_6135,72.81431297,1716.706024
328,n_6969,n_22602,379.3737639,1004.72608
329,n_9929,n_23812,394.3935411,5156.358671
330,n_4477,n_4521,45.26832303,1259.838806
331,n_9903,n_9908,52.88590307,1394.078129
332,n_9949,n_23815,34.31361613,1051.91708
333,n_9865,n_28955,816.7043224,8282.22535
334,n_2050,n_3087,25.21340438,860.7061823
335,n_6942,n_28471,93.05010653,402.4477955
336,n_10038,n_10037,305.5847171,4367.304915
337,n_23846,n_30068,353.6439906,4802.965565
338,n_29021,n_6669,34.04677888,1046.584548
339,n_9984,n_9986,132.945884,2540.417995
340,n_9856,n_30061,227.6612288,720.5598438
341,n_10043,n_23813,71.49965493,1696.46417
342,n_30415,n_30416,805.0826766,1639.747664
343,n_6656,n_22539,2195.64644,15767.03205
344,n_1837,n_22589,89.07212182,1957.378138
345,n_6646,n_6652,4773.005832,26138.84492
346,n_11709,n_28665,363.5753584,977.2863848
347,n_6651,n_6663,36.29122652,1090.997347
348,n_6888,n_22590,138.1250867,520.4659307
349,n_6135,n_6134,65.06257403,318.8258346
350,n_9822,n_22867,85.70813099,1908.930694
351,n_7045,n_22609,824.8844637,1665.891802
352,n_10040,n_23855,420.2144736,5373.688013
353,n_23796,n_23798,28.07306896,923.0591741
354,n_6400,n_28636,187.9051325,635.9294295
355,n_9853,n_9855,20.79360054,759.2154815
356,n_8318,n_8320,157.3374609,2834.853004
357,n_6938,n_28698,88.78489847,390.340508
358,n_14000,n_14015,486.1964608,1180.835347
359,n_10014,n_4099,14.11923005,590.0920904
360,n_28470,n_30882,72.40973648,1710.490429
361,n_9918,n_29004,159.6756975,2862.20869
362,n_29803,n_4517,33.41661411,1033.932945
363,n_15626,n_15629,501.1564475,1204.363264
364,n_10024,n_10022,2145.562159,15531.95343
365,n_6709,n_18277,33.637228,207.5079867
366,n_18289,n_19629,152.7933535,555.8106609
367,n_9439,n_9440,92.88404295,2011.511343
368,n_18283,n_18282,212.2798086,688.4817344
369,n_27920,n_27921,7640.245838,35505.50522
370,n_6689,n_6688,25.67645242,870.9638317
371,n_29015,n_29973,9402.74317,8122.011403
372,n_26269,n_26268,2689.180275,3595.484603
373,n_7597,n_22818,9052.709701,39651.14086
374,n_30942,n_30944,435.6865443,5501.678308
375,n_340,n_6903,650.8022422,1427.677755
376,n_29240,n_29275,187.0361433,634.0133359
377,n_207,n_29228,50.25307561,1348.496135
378,n_9906,n_9908,111.1527715,2260.929059
379,n_6888,n_28954,77.10814434,1781.948247
380,n_340,n_6661,27.21450674,904.5819697
381,n_10025,n_14001,173.7530978,604.3255577
382,n_6688,n_28669,199.8669265,3312.647089
383,n_9868,n_23786,25.89573434,875.7989121
384,n_7050,n_23857,2366.916854,16557.16426
385,n_1837,n_6893,55.0265032,1430.556911
386,n_1960,n_2411,33.8175211,208.2313714
387,n_26303,n_26304,1456.832195,2412.428618
388,n_7720,n_30957,61.64438997,1540.329135
389,n_9927,n_23810,35.69868017,1079.367604
390,n_18278,n_18284,46.33177351,255.6007049
391,n_17983,n_21770,1972.943698,2938.965796
392,n_1572,n_23849,30.93914024,983.3626023
393,n_23856,n_10044,31483.32762,89257.21097
394,n_9952,n_23826,20.12723964,743.2866772
395,n_1575,n_28509,11.69200044,521.9013819
396,n_28770,n_28771,267.5798844,4005.576465
397,n_7587,n_19221,554.9040206,6439.893086
398,n_6669,n_6939,75.29972855,1754.629122
399,n_13964,n_14027,372.5681152,992.9554597
400,n_6664,n_23768,246.0871542,3793.077581
401,n_23785,n_28652,184.0239202,3139.250543
402,n_6897,n_6902,5854.124931,29854.55321
403,n_7699,n_22867,492.0494123,5955.119736
404,n_6709,n_6710,15402.15796,11199.2895
405,n_28332,n_18271,234.4236817,734.4222612
406,n_28719,n_7062,18.03343319,691.990084
407,n_1508,n_3484,284.0146961,832.1463958
408,n_4534,n_14031,1162.145128,2082.377034
409,n_9961,n_31016,193.9275637,3248.225447
410,n_6705,n_18281,2315.299743,3261.626071
411,n_28504,n_29228,2.867123289,1860.02237
412,n_1990,n_2086,101.5647416,2131.976901
413,n_23901,n_23902,4236.334679,24185.96857
414,n_9969,n_9971,28.66171042,935.6135278
415,n_2044,n_29559,27.99087023,8198.384044
416,n_15661,n_18700,76.09768449,353.0593166
417,n_1506,n_29226,179.4469621,617.145086
418,n_18303,n_30976,32.23815398,201.8477185
419,n_29000,n_31012,37.05927769,1105.973542
420,n_340,n_18493,107.3007403,2209.607791
421,n_20896,n_23861,709.5176717,7557.355936
422,n_23582,n_28946,1183.483522,2107.188898
423,n_21284,n_28664,53.6574045,1407.283943
424,n_23815,n_23816,32.33293223,1011.979647
425,n_9961,n_9962,220.1496055,3527.785602
426,n_14549,n_26292,1020.555933,9575.150026
427,n_7557,n_29874,70.69655374,1684.034869
428,n_9943,n_23816,60.60697229,1523.403778
429,n_2044,n_1998,8.088624182,3653.818611
430,n_6977,n_18870,41.13843107,236.5648068
431,n_4481,n_18308,25.98027588,877.6592002
432,n_7067,n_23767,62.45459464,1553.478487
433,n_6687,n_22611,5657.057771,29196.40051
434,n_25970,n_30630,1205.287428,2132.3813
435,n_15628,n_15626,138.2569179,520.7892613
436,n_18282,n_18283,1310.875451,2252.202097
437,n_23812,n_29005,41.92795138,1198.51285
438,n_9994,n_10012,97.81338431,2080.377303
439,n_18267,n_18269,1333.055824,2276.93763
440,n_6984,n_18870,838.931326,1684.30509
441,n_6981,n_6982,197.3908227,656.6481371
442,n_6707,n_30400,36.85502991,1102.001584
443,n_7702,n_7703,362.6917589,4882.607992
444,n_319,n_6650,75.33629554,1755.18378
445,n_14503,n_26267,4075.054197,4712.720718
446,n_26268,n_26269,2635.535572,3548.628284
447,n_6968,n_6981,177.9935604,613.8864681
448,n_9955,n_29006,95.00730007,2041.327163
449,n_4093,n_28617,5.816415315,2947.889859
450,n_1572,n_7031,130.7579689,502.2218961
451,n_9871,n_23789,34.50783763,1055.789347
452,n_20562,n_20896,242.5810801,3757.80882
453,n_17892,n_28106,460.0527464,1139.102049
454,n_6913,n_6641,19.16774009,720.023194
455,n_2042,n_22521,225.2503002,3580.782846
456,n_4540,n_21559,463.2741995,1144.288359
457,n_997,n_19629,521.6929384,1236.266227
458,n_9963,n_29011,22.98564233,810.4031091
459,n_7045,n_30086,92.16066214,2001.299098
460,n_18867,n_28636,182.9754038,625.0179992
461,n_13300,n_18297,199.0181106,660.1672096
462,n_6177,n_22543,215.2375469,3476.34174
463,n_7044,n_30087,6199.78322,6193.155316
464,n_3485,n_20883,693.1037548,7443.076535
465,n_10023,n_10024,23.75551728,827.9717269
466,n_6650,n_29973,1478.890091,2436.14502
467,n_18699,n_29017,201.6402182,3331.751127
468,n_9967,n_18301,26248.50066,15845.71708
469,n_18696,n_18705,18.86134768,712.5095082
470,n_23822,n_23823,148.9645823,2735.708822
471,n_4479,n_15609,151.910129,553.7169654
472,n_9882,n_29000,38.86027872,1140.673025
473,n_6666,n_6678,247043.7793,68197.8512
474,n_12432,n_25047,6439.191471,31764.50009
475,n_4096,n_21285,248.6456107,3818.703348
476,n_6400,n_22425,72.36950745,341.7004682
477,n_333,n_334,149.2713039,2739.374518
478,n_9870,n_23789,147.1249735,2713.667715
479,n_18708,n_10875,51.73843303,274.6422238
480,n_23813,n_23814,31867.52207,89964.78847
481,n_18280,n_18279,54.51768791,284.1585538
482,n_23803,n_9856,2911.403195,18946.25837
483,n_28707,n_29661,45.81042887,253.7246512
484,n_28108,n_28504,94.67700802,407.0146609
485,n_18271,n_28332,3069.350237,3918.700793
486,n_9506,n_18869,107.3356307,441.6611046
487,n_1924,n_28663,5.477901109,2835.034954
488,n_9508,n_23786,251.3491747,3845.682728
489,n_6652,n_28470,915.7702627,8923.10202
490,n_29559,n_29953,12.10255319,4749.780154
491,n_14494,n_30260,957.4738279,1835.644117
492,n_23793,n_9887,37.83628984,1121.014641
493,n_9839,n_7069,51.18771868,272.7355728
494,n_16490,n_31089,896.3029347,1758.421374
495,n_9938,n_18295,50.71173738,271.0818833
496,n_22540,n_6665,542.6077545,6346.630382
497,n_2907,n_30301,1353.028789,2299.088815
498,n_9994,n_29016,76.47655723,1772.432746
499,n_1960,n_1990,183.0865581,3128.831524
500,n_9932,n_29003,105.743066,2188.67264
501,n_9961,n_29011,217.2261757,3497.217451
502,n_4531,n_7797,82.58353732,372.368147
503,n_328,n_12439,456.4834394,1133.340894
504,n_6660,n_7026,120.2951251,2380.31421
505,n_10029,n_10037,39.62644734,1155.263754
506,n_23782,n_9484,8003.116101,36594.38967
507,n_9479,n_23781,77.51282846,1788.030928
508,n_18692,n_20562,73.61766928,1729.012553
509,n_23850,n_29020,785.0563367,8071.853276
510,n_18493,n_22818,30.86992508,981.9298955
511,n_2414,n_22427,19.45668758,727.0707618
512,n_9456,n_23780,1194.148178,10606.14901
513,n_30522,n_23843,136.7118973,2587.037543
514,n_17892,n_17983,1117.616187,2030.081176
515,n_23850,n_28673,87.15454765,1929.841527
516,n_23817,n_30519,285.5193455,4178.414877
517,n_1517,n_20880,125.5945532,2448.064281
518,n_1572,n_7026,25.44676865,865.8839158
519,n_29015,n_30069,898.5002429,8813.190759
520,n_9833,n_28993,151.6809242,2768.081558
521,n_30401,n_29024,43.27579882,1223.456066
522,n_22611,n_30413,7641.578727,35509.53749
523,n_4452,n_13267,48.04703725,261.72176
524,n_18271,n_18296,57.48318335,294.1277056
525,n_30067,n_9930,124.9854667,2440.328928
526,n_9898,n_9903,80.23932642,1828.727259
527,n_7566,n_28767,85.25749886,1902.390803
528,n_23809,n_23810,663.3375804,7233.392792
529,n_9835,n_23770,1089.034623,9988.653804
530,n_18268,n_18262,71.10161968,337.7912674
531,n_6894,n_22592,103.4741369,2157.98456
532,n_9440,n_23772,75.53204277,1758.151332
533,n_9883,n_9856,7797.36572,7190.067261
534,n_6409,n_29924,6.462421522,3157.096889
535,n_6954,n_31267,94.11387185,405.4370072
536,n_6707,n_6708,473.9214196,5811.358247
537,n_9898,n_23805,72.16041979,1706.654087
538,n_17984,n_21770,4272.673899,4860.270078
539,n_218,n_29226,550.5443238,1280.355725
540,n_23842,n_10002,5625.257421,29089.45108
541,n_10043,n_28996,122.814817,2412.654151
542,n_23784,n_28652,518.904005,6164.735882
543,n_15689,n_29983,85948.19523,34297.5422
544,n_9480,n_9867,503.8856811,6047.988632
545,n_6688,n_6690,494.1017606,1193.299187
546,n_28504,n_28505,90.76983539,1981.585294
547,n_30523,n_28998,108.9294832,2231.384986
548,n_1998,n_6130,313.0754508,39480.99508
549,n_23900,n_23902,2992.604358,19288.60946
550,n_4534,n_11735,41.22575713,1185.407329
551,n_6965,n_6968,126.1429013,490.6101855
552,n_9458,n_23584,961.2039736,9208.857463
553,n_9933,n_23795,224.1588697,3569.478185
554,n_13988,n_17889,971.5905871,1853.217936
555,n_28714,n_30086,32.14678293,1008.182946
556,n_9820,n_7091,34.02092321,1046.06707
557,n_28471,n_29962,168.8145913,593.0874926
558,n_1754,n_22817,692.7737837,7440.769537
559,n_2417,n_18867,119.1584995,472.7507855
560,n_4534,n_30912,1144.836369,2062.13376
561,n_9831,n_23770,61.6771238,1540.861559
562,n_6664,n_6674,249.8582287,3830.81689
563,n_323,n_19224,18462.54039,63059.21533
564,n_4098,n_21285,29837.60907,86191.45254
565,n_23857,n_7061,68.73432262,1653.456881
566,n_9851,n_28662,186.1107743,631.9695076
567,n_4473,n_30940,19.01686991,6374.411469
568,n_1258,n_10026,38.85711416,1140.612552
569,n_6895,n_22591,59.42512742,1503.998393
570,n_6691,n_7607,134.7124087,2562.34245
571,n_2418,n_2416,24.30631198,840.4191431
572,n_29016,n_29019,25.6946895,871.3665001
573,n_6904,n_18493,29076.63031,84753.96322
574,n_18707,n_18710,179.7857863,617.9034252
575,n_27913,n_6939,458.3385061,1136.337078
576,n_29000,n_23800,818.6158283,8294.839605
577,n_15691,n_29983,48.85798649,264.5890824
578,n_6971,n_6974,856.0181895,1706.558954
579,n_6684,n_4484,482.8827646,1175.589821
580,n_6129,n_6130,66.09145939,322.0990803
581,n_18262,n_18267,223.2172084,711.3716969
582,n_30212,n_27690,850.1563294,1698.942111
583,n_7064,n_7066,365.2311177,4904.835458
