,name,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Total_Capacity,weights,fuel_type,nearest_node,Weight
100,PP_7277_16,ngct,4099,n_4099,DUK,109.6,109.6,12.60900501,41.648,3.17,203.8095361,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
101,PP_7277_2,ngct,4099,n_4099,DUK,109.6,109.6,20.73080578,41.648,3.17,335.0887643,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
102,PP_7277_3,ngct,4099,n_4099,DUK,109.6,109.6,20.71208254,41.648,3.17,334.7861255,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
103,PP_7277_4,ngct,4099,n_4099,DUK,109.6,109.6,20.31965066,41.648,3.17,328.4429319,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
104,PP_7277_5,ngct,4099,n_4099,DUK,109.6,109.6,17.4396495,41.648,3.17,281.8911461,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
105,PP_7277_6,ngct,4099,n_4099,DUK,109.6,109.6,16.02792414,41.648,3.17,259.0722884,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
106,PP_7277_7,ngct,4099,n_4099,DUK,109.6,109.6,18.1367138,41.648,3.17,293.1583596,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
107,PP_7277_8,ngct,4099,n_4099,DUK,109.6,109.6,12.69175035,41.648,3.17,205.1470158,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
108,PP_7277_9,ngct,4099,n_4099,DUK,109.6,109.6,14.1904608,41.648,3.17,229.3718838,7672,109.6,1,1,6818.0,0.016075095335875624,ngct,n_4099,0.016075095335875624
109,PP_7805_001,ngct,28663,n_28663,CPLE,199.4,199.4,8.586263318,75.772,3.17,252.5006416,13958,199.4,1,1,2581.9,0.07722994693830125,ngct,n_28663,0.07722994693830125
110,PP_7805_002,ngct,28663,n_28663,CPLE,199.4,199.4,11.71478183,75.772,3.17,344.5025872,13958,199.4,1,1,2581.9,0.07722994693830125,ngct,n_28663,0.07722994693830125
111,PP_7805_003,ngct,28663,n_28663,CPLE,199.4,199.4,9.632253189,75.772,3.17,283.2606012,13958,199.4,1,1,2581.9,0.07722994693830125,ngct,n_28663,0.07722994693830125
112,PP_7805_004,ngct,28663,n_28663,CPLE,199.4,199.4,12.37114605,75.772,3.17,363.8046259,13958,199.4,1,1,2581.9,0.07722994693830125,ngct,n_28663,0.07722994693830125
113,PP_7805_10,ngcc,28663,n_28663,CPLE,191.2,191.2,11.62520531,72.656,3.17,316.0715977,13384,191.2,6,6,2870.7,0.06660396418991883,ngcc,n_28663,0.06660396418991883
114,PP_7805_6,ngct,28663,n_28663,CPLE,199.4,199.4,11.75552528,75.772,3.17,345.7007507,13958,199.4,1,1,2581.9,0.07722994693830125,ngct,n_28663,0.07722994693830125
115,PP_7805_7,ngcc,28663,n_28663,CPLE,199.4,199.4,11.13394722,75.772,3.17,315.6975884,13958,199.4,6,6,2870.7,0.06946041035287562,ngcc,n_28663,0.06946041035287562
116,PP_7805_8,ngcc,28663,n_28663,CPLE,199.4,199.4,11.17414382,75.772,3.17,316.8373432,13958,199.4,6,6,2870.7,0.06946041035287562,ngcc,n_28663,0.06946041035287562
117,PP_7805_9,ngcc,28663,n_28663,CPLE,191.2,191.2,11.67681469,72.656,3.17,317.474778,13384,191.2,6,6,2870.7,0.06660396418991883,ngcc,n_28663,0.06660396418991883
118,PP_7805_ST4,ngcc,28663,n_28663,CPLE,195.5,195.5,7.676022526,74.29,3.17,213.3928946,13685,195.5,6,6,2870.7,0.06810185669000593,ngcc,n_28663,0.06810185669000593
119,PP_7805_ST5,ngcc,28663,n_28663,CPLE,271.1,271.1,7.676022526,103.018,3.17,295.9120906,18977,271.1,6,6,2870.7,0.09443689692409518,ngcc,n_28663,0.09443689692409518
120,PP_7826_001,ngct,4473,n_4473,DUK,199.4,199.4,8.319994155,75.772,3.17,244.670328,13958,199.4,1,1,6818.0,0.029246113229686125,ngct,n_4473,0.029246113229686125
121,PP_7826_002,ngct,4473,n_4473,DUK,199.4,199.4,11.61965432,75.772,3.17,341.7051239,13958,199.4,1,1,6818.0,0.029246113229686125,ngct,n_4473,0.029246113229686125
122,PP_7826_003,ngct,4473,n_4473,DUK,199.4,199.4,12.76731362,75.772,3.17,375.4549285,13958,199.4,1,1,6818.0,0.029246113229686125,ngct,n_4473,0.029246113229686125
123,PP_7826_4,ngcc,4473,n_4473,DUK,199.4,199.4,10.72345987,75.772,3.17,304.0584218,13958,199.4,6,6,5069.4,0.03933404347654555,ngcc,n_4473,0.03933404347654555
124,PP_7826_5,ngcc,4473,n_4473,DUK,199.4,199.4,10.712896,75.772,3.17,303.7588885,13958,199.4,6,6,5069.4,0.03933404347654555,ngcc,n_4473,0.03933404347654555
125,PP_7826_STG,ngcc,4473,n_4473,DUK,195.0,195.0,7.412731677,74.1,3.17,205.5463852,13650,195.0,6,6,5069.4,0.03846609066161676,ngcc,n_4473,0.03846609066161676
126,PP_7834_CT1A,ngcc,8337,n_8337,DUK,165.0,165.0,11.2067642,62.7,3.17,262.9427075,11550,165.0,6,6,5069.4,0.03254823055982957,ngcc,n_8337,0.03254823055982957
127,PP_7834_CT1B,ngcc,8337,n_8337,DUK,165.0,165.0,11.13612112,62.7,3.17,261.285219,11550,165.0,6,6,5069.4,0.03254823055982957,ngcc,n_8337,0.03254823055982957
128,PP_7834_CT2A,ngct,8337,n_8337,DUK,165.0,165.0,17.04336612,62.7,3.17,414.7366798,11550,165.0,1,1,6818.0,0.02420064535054268,ngct,n_8337,0.02420064535054268
129,PP_7834_CT2B,ngct,8337,n_8337,DUK,165.0,165.0,17.79513976,62.7,3.17,433.0304899,11550,165.0,1,1,6818.0,0.02420064535054268,ngct,n_8337,0.02420064535054268
130,PP_7834_CT3A,ngct,8337,n_8337,DUK,84.0,84.0,8.259202161,31.92,3.17,102.3176393,5880,84.0,1,1,6818.0,0.012320328542094456,ngct,n_8337,0.012320328542094456
131,PP_7834_CT3B,ngct,8337,n_8337,DUK,84.0,84.0,8.259202161,31.92,3.17,102.3176393,5880,84.0,1,1,6818.0,0.012320328542094456,ngct,n_8337,0.012320328542094456
132,PP_7834_CT4A,ngct,8337,n_8337,DUK,84.0,84.0,8.259202161,31.92,3.17,102.3176393,5880,84.0,1,1,6818.0,0.012320328542094456,ngct,n_8337,0.012320328542094456
133,PP_7834_ST1S,ngcc,8337,n_8337,DUK,190.0,190.0,8.259202161,72.2,3.17,223.1457653,13300,190.0,6,6,5069.4,0.03747978064465223,ngcc,n_8337,0.03747978064465223
134,PP_7981_1,ngct,4477,n_4477,DUK,99.9,99.9,12.01938938,37.962,3.17,177.0846926,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
135,PP_7981_2,ngct,4477,n_4477,DUK,99.9,99.9,15.38481366,37.962,3.17,226.6683366,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
136,PP_7981_3,ngct,4477,n_4477,DUK,99.9,99.9,12.22088881,37.962,3.17,180.0534345,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
137,PP_7981_4,ngct,4477,n_4477,DUK,99.9,99.9,17.30628746,37.962,3.17,254.9778943,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
138,PP_7981_5,ngct,4477,n_4477,DUK,99.9,99.9,10.35627197,37.962,3.17,152.5815647,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
139,PP_7981_6,ngct,4477,n_4477,DUK,99.9,99.9,15.36601002,37.962,3.17,226.3912979,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
140,PP_7981_7,ngct,4477,n_4477,DUK,99.9,99.9,11.10848832,37.962,3.17,163.6641578,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
141,PP_7981_8,ngct,4477,n_4477,DUK,99.9,99.9,10.69010606,37.962,3.17,157.5000265,6993,99.9,1,1,6818.0,0.014652390730419478,ngct,n_4477,0.014652390730419478
142,PP_10051_GEN1,hydro,30069,n_30069,CPLE,0.6,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.0016339869281045752,hydro,n_30069,0.0016339869281045752
143,PP_10051_GEN2,hydro,30069,n_30069,CPLE,0.6,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.0016339869281045752,hydro,n_30069,0.0016339869281045752
144,PP_10173_T-1,hydro,4521,n_4521,DUK,4.3,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0008451257861635219,hydro,n_4521,0.0008451257861635219
