name,Plan_ID,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,weights,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_55166_CT01,PP_55166,ngct,4521,n_4521,DUK,197,0.005691487,197,11.94986135,74.86,3.17,347.1860137,13790,197,1,1
PP_55166_CT02,PP_55166,ngct,4521,n_4521,DUK,197,0.005691487,197,11.18838102,74.86,3.17,325.0622993,13790,197,1,1
PP_55166_CT03,PP_55166,ngct,4521,n_4521,DUK,197,0.005691487,197,7.617751931,74.86,3.17,221.3228128,13790,197,1,1
PP_55166_CT04,PP_55166,ngct,4521,n_4521,DUK,197,0.005691487,197,11.24637597,74.86,3.17,326.747259,13790,197,1,1
PP_55166_CT05,PP_55166,ngct,4521,n_4521,DUK,197,0.005691487,197,10.90407923,74.86,3.17,316.8023202,13790,197,1,1
PP_56249_1,PP_56249,ngct,29024,n_29024,CPLE,57.3,0.003292668,57.3,3.988123447,21.774,3.17,33.70205195,4011,57.3,1,1
PP_56249_2,PP_56249,ngct,29024,n_29024,CPLE,57.3,0.003292668,57.3,5.928300405,21.774,3.17,50.09771912,4011,57.3,1,1
PP_56249_3,PP_56249,ngct,29024,n_29024,CPLE,57.3,0.003292668,57.3,5.366900809,21.774,3.17,45.35355344,4011,57.3,1,1
PP_56249_4,PP_56249,ngct,29024,n_29024,CPLE,57.3,0.003292668,57.3,6.002832867,21.774,3.17,50.72756344,4011,57.3,1,1
PP_56249_5,PP_56249,ngct,29024,n_29024,CPLE,57.3,0.003292668,57.3,3.768655408,21.774,3.17,31.84741447,4011,57.3,1,1
PP_56249_6,PP_56249,ngct,29024,n_29024,CPLE,57.3,0.003292668,57.3,5.761277734,21.774,3.17,48.68627666,4011,57.3,1,1
PP_56292_ES1,PP_56292,ngct,28663,n_28663,CPLE,57.3,0.003292668,57.3,6.76235573,21.774,3.17,57.14599038,4011,57.3,1,1
PP_56292_ES2,PP_56292,ngct,28663,n_28663,CPLE,57.3,0.003292668,57.3,2.909009208,21.774,3.17,24.58288485,4011,57.3,1,1
PP_56292_ES3,PP_56292,ngct,28663,n_28663,CPLE,57.3,0.003292668,57.3,3.374423564,21.774,3.17,28.51591727,4011,57.3,1,1
PP_56292_ES4,PP_56292,ngct,28663,n_28663,CPLE,57.3,0.003292668,57.3,6.939299966,21.774,3.17,58.64127605,4011,57.3,1,1
PP_56292_ES5,PP_56292,ngct,28663,n_28663,CPLE,57.3,0.003292668,57.3,7.048787496,21.774,3.17,59.56651181,4011,57.3,1,1
PP_56292_ES6,PP_56292,ngct,28663,n_28663,CPLE,57.3,0.003292668,57.3,3.422845555,21.774,3.17,28.92511234,4011,57.3,1,1
PP_57029_1,PP_57029,ngct,29803,n_29803,DUK,184,0.005315906,184,10.33800054,69.92,3.17,280.5352908,12880,184,1,1
PP_57029_2,PP_57029,ngct,29803,n_29803,DUK,184,0.005315906,184,10.38112521,69.92,3.17,281.7055357,12880,184,1,1
PP_57029_3,PP_57029,ngct,29803,n_29803,DUK,184,0.005315906,184,10.63188612,69.92,3.17,288.510264,12880,184,1,1
PP_57029_4,PP_57029,ngct,29803,n_29803,DUK,184,0.005315906,184,9.65182645,69.92,3.17,261.9150511,12880,184,1,1
PP_57505_1,PP_57505,ngct,15782,n_15782,DUK,15,0.000433362,15,30.34166667,5.7,3.17,67.12183501,1050,15,1,1
PP_57505_2,PP_57505,ngct,15782,n_15782,DUK,15,0.000433362,15,30.34166667,5.7,3.17,67.12183501,1050,15,1,1
PP_58400_GT01,PP_58400,ngct,229,n_229,DUK,5.5,0.000158899,5.5,20.65079365,2.09,3.17,16.75068476,385,5.5,1,1
PP_59325_KMEC1,PP_59325,ngcc,29803,n_29803,DUK,310.2,0.008961925,310.2,6.799916498,117.876,3.17,299.9454824,21714,310.2,6,6
PP_59325_KMEC2,PP_59325,ngcc,29803,n_29803,DUK,233.7,0.006751779,233.7,6.799916498,88.806,3.17,225.9744012,16359,233.7,6,6
PP_61675_CTG1,PP_61675,ngct,12439,n_12439,CPLE,5.6,0.000321797,5.6,12.80846445,2.128,3.17,10.57835709,392,5.6,1,1
PP_61675_STG,PP_61675,ngct,12439,n_12439,CPLE,1,5.74637E-05,1,18.21190476,0.38,3.17,2.685891714,70,1,1,1
PP_61676_CTG1,PP_61676,ngct,12439,n_12439,CPLE,5.6,0.000321797,5.6,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1
PP_61676_CTG2,PP_61676,ngct,12439,n_12439,CPLE,5.6,0.000321797,5.6,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1
PP_63063_GT01,PP_63063,ngct,229,n_229,DUK,13.4,0.000387137,13.4,15.11989326,5.092,3.17,29.8804169,938,13.4,1,1
PP_7277_1,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,16.11295154,41.648,3.17,260.446655,7672,109.6,1,1
PP_7277_10,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,10.33347846,41.648,3.17,167.0283618,7672,109.6,1,1
PP_7277_11,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,18.77286987,41.648,3.17,303.4410642,7672,109.6,1,1
PP_7277_12,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,16.38613326,41.648,3.17,264.8623119,7672,109.6,1,1
PP_7277_13,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,16.05036228,41.648,3.17,259.4349742,7672,109.6,1,1
PP_7277_14,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,16.1252256,41.648,3.17,260.6450506,7672,109.6,1,1
PP_7277_15,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,14.43116937,41.648,3.17,233.2626509,7672,109.6,1,1
PP_7277_16,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,12.60900501,41.648,3.17,203.8095361,7672,109.6,1,1
PP_7277_2,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,20.73080578,41.648,3.17,335.0887643,7672,109.6,1,1
PP_7277_3,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,20.71208254,41.648,3.17,334.7861255,7672,109.6,1,1
PP_7277_4,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,20.31965066,41.648,3.17,328.4429319,7672,109.6,1,1
PP_7277_5,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,17.4396495,41.648,3.17,281.8911461,7672,109.6,1,1
PP_7277_6,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,16.02792414,41.648,3.17,259.0722884,7672,109.6,1,1
PP_7277_7,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,18.1367138,41.648,3.17,293.1583596,7672,109.6,1,1
PP_7277_8,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,12.69175035,41.648,3.17,205.1470158,7672,109.6,1,1
PP_7277_9,PP_7277,ngct,4099,n_4099,DUK,109.6,0.003166431,109.6,14.1904608,41.648,3.17,229.3718838,7672,109.6,1,1
PP_7805_001,PP_7805,ngct,28663,n_28663,CPLE,199.4,0.011458256,199.4,8.586263318,75.772,3.17,252.5006416,13958,199.4,1,1
PP_7805_002,PP_7805,ngct,28663,n_28663,CPLE,199.4,0.011458256,199.4,11.71478183,75.772,3.17,344.5025872,13958,199.4,1,1
PP_7805_003,PP_7805,ngct,28663,n_28663,CPLE,199.4,0.011458256,199.4,9.632253189,75.772,3.17,283.2606012,13958,199.4,1,1
PP_7805_004,PP_7805,ngct,28663,n_28663,CPLE,199.4,0.011458256,199.4,12.37114605,75.772,3.17,363.8046259,13958,199.4,1,1
PP_7805_10,PP_7805,ngcc,28663,n_28663,CPLE,191.2,0.010987053,191.2,11.62520531,72.656,3.17,316.0715977,13384,191.2,6,6
PP_7805_6,PP_7805,ngct,28663,n_28663,CPLE,199.4,0.011458256,199.4,11.75552528,75.772,3.17,345.7007507,13958,199.4,1,1
PP_7805_7,PP_7805,ngcc,28663,n_28663,CPLE,199.4,0.011458256,199.4,11.13394722,75.772,3.17,315.6975884,13958,199.4,6,6
PP_7805_8,PP_7805,ngcc,28663,n_28663,CPLE,199.4,0.011458256,199.4,11.17414382,75.772,3.17,316.8373432,13958,199.4,6,6
PP_7805_9,PP_7805,ngcc,28663,n_28663,CPLE,191.2,0.010987053,191.2,11.67681469,72.656,3.17,317.474778,13384,191.2,6,6
PP_7805_ST4,PP_7805,ngcc,28663,n_28663,CPLE,195.5,0.011234147,195.5,7.676022526,74.29,3.17,213.3928946,13685,195.5,6,6
PP_7805_ST5,PP_7805,ngcc,28663,n_28663,CPLE,271.1,0.015578401,271.1,7.676022526,103.018,3.17,295.9120906,18977,271.1,6,6
PP_7826_001,PP_7826,ngct,4473,n_4473,DUK,199.4,0.005760825,199.4,8.319994155,75.772,3.17,244.670328,13958,199.4,1,1
PP_7826_002,PP_7826,ngct,4473,n_4473,DUK,199.4,0.005760825,199.4,11.61965432,75.772,3.17,341.7051239,13958,199.4,1,1
PP_7826_003,PP_7826,ngct,4473,n_4473,DUK,199.4,0.005760825,199.4,12.76731362,75.772,3.17,375.4549285,13958,199.4,1,1
PP_7826_4,PP_7826,ngcc,4473,n_4473,DUK,199.4,0.005760825,199.4,10.72345987,75.772,3.17,304.0584218,13958,199.4,6,6
PP_7826_5,PP_7826,ngcc,4473,n_4473,DUK,199.4,0.005760825,199.4,10.712896,75.772,3.17,303.7588885,13958,199.4,6,6
PP_7826_STG,PP_7826,ngcc,4473,n_4473,DUK,195,0.005633705,195,7.412731677,74.1,3.17,205.5463852,13650,195,6,6
PP_7834_CT1A,PP_7834,ngcc,8337,n_8337,DUK,165,0.004766981,165,11.2067642,62.7,3.17,262.9427075,11550,165,6,6
PP_7834_CT1B,PP_7834,ngcc,8337,n_8337,DUK,165,0.004766981,165,11.13612112,62.7,3.17,261.285219,11550,165,6,6
PP_7834_CT2A,PP_7834,ngct,8337,n_8337,DUK,165,0.004766981,165,17.04336612,62.7,3.17,414.7366798,11550,165,1,1
PP_7834_CT2B,PP_7834,ngct,8337,n_8337,DUK,165,0.004766981,165,17.79513976,62.7,3.17,433.0304899,11550,165,1,1
