,n_6705,n_18689,n_319
51,759.9904907728262,1980.76106052059,940.2484487065839
52,758.3387863647353,1976.4562280065545,938.2049856287103
53,759.7840277218148,1980.2229564563356,939.9930158218497
54,760.403416874849,1981.8372686490989,940.7593144760523
55,759.7840277218148,1980.2229564563356,939.9930158218497
56,759.9904907728262,1980.76106052059,940.2484487065839
57,759.7840277218148,1980.2229564563356,939.9930158218497
58,760.6098799258602,1982.3753727133533,941.0147473607865
59,759.3711016197921,1979.1467483278268,939.4821500523813
60,760.403416874849,1981.8372686490989,940.7593144760523
61,760.403416874849,1981.8372686490989,940.7593144760523
62,760.403416874849,1981.8372686490989,940.7593144760523
63,761.8486582319284,1985.60399709888,942.5473446691917
64,761.022806027883,1983.4515808418623,941.5256131302549
65,761.642195180917,1985.0658930346256,942.2919117844575
66,761.022806027883,1983.4515808418623,941.5256131302549
67,760.6098799258602,1982.3753727133533,941.0147473607865
68,760.1969538238376,1981.2991645848444,940.5038815913181
69,759.9904907728262,1980.76106052059,940.2484487065839
70,760.1969538238376,1981.2991645848444,940.5038815913181
71,760.6098799258602,1982.3753727133533,941.0147473607865
72,759.3711016197921,1979.1467483278268,939.4821500523813
73,760.403416874849,1981.8372686490989,940.7593144760523
74,759.5775646708034,1979.6848523920812,939.7375829371155
75,760.6098799258602,1982.3753727133533,941.0147473607865
76,760.6098799258602,1982.3753727133533,941.0147473607865
77,760.1969538238376,1981.2991645848444,940.5038815913181
78,761.022806027883,1983.4515808418623,941.5256131302549
79,760.8163429768716,1982.9134767776077,941.2701802455207
80,761.2292690788944,1983.9896849061167,941.7810460149891
81,761.022806027883,1983.4515808418623,941.5256131302549
82,761.2292690788944,1983.9896849061167,941.7810460149891
83,760.6098799258602,1982.3753727133533,941.0147473607865
84,761.8486582319284,1985.60399709888,942.5473446691917
85,761.4357321299058,1984.5277889703711,942.0364788997233
86,761.2292690788944,1983.9896849061167,941.7810460149891
87,761.4357321299058,1984.5277889703711,942.0364788997233
88,761.8486582319284,1985.60399709888,942.5473446691917
89,761.2292690788944,1983.9896849061167,941.7810460149891
