,Plant_id,Balancing Authority Name,Balancing Authority Code,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,index_right,NAME
6850,PP_58340,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.917364,36.4797,POINT (-78.91736400000001 36.4797),yellow,1,DUKE ENERGY CAROLINAS
6851,PP_61288,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.622242,36.326821,POINT (-78.622242 36.326821),yellow,1,DUKE ENERGY CAROLINAS
6853,PP_62594,Duke Energy Carolinas,DUK,22.0,SOLAR,-81.7634,35.32062,POINT (-81.7634 35.32062),yellow,1,DUKE ENERGY CAROLINAS
6855,PP_59589,Duke Energy Carolinas,DUK,74.8,SOLAR,-81.830556,35.257778,POINT (-81.830556 35.257778),yellow,1,DUKE ENERGY CAROLINAS
6859,PP_54984,Duke Energy Carolinas,DUK,4.5,BIOMASS,-80.183458,36.191241,POINT (-80.183458 36.191241),forestgreen,1,DUKE ENERGY CAROLINAS
6860,PP_61128,Duke Energy Carolinas,DUK,3.8,SOLAR,-80.422626,35.632585,POINT (-80.42262599999999 35.632585),yellow,1,DUKE ENERGY CAROLINAS
6866,PP_54898,Tennessee Valley Authority,TVA,45.0,HYDRO,-83.863889,35.4475,POINT (-83.863889 35.4475),royalblue,1,DUKE ENERGY CAROLINAS
6868,PP_56915,Duke Energy Progress East,CPLE,2.0,SOLAR,-78.7503,35.8136,POINT (-78.7503 35.8136),yellow,1,DUKE ENERGY CAROLINAS
6873,PP_65556,Duke Energy Progress East,CPLE,4.5,SOLAR,-79.787634,35.532427,POINT (-79.787634 35.532427),yellow,1,DUKE ENERGY CAROLINAS
6879,PP_60101,Duke Energy Carolinas,DUK,2.0,SOLAR,-81.588436,35.309229,POINT (-81.588436 35.309229),yellow,1,DUKE ENERGY CAROLINAS
6880,PP_57200,Duke Energy Carolinas,DUK,1.0,SOLAR,-81.5956,35.2536,POINT (-81.5956 35.2536),yellow,1,DUKE ENERGY CAROLINAS
6881,PP_54363,Duke Energy Carolinas,DUK,4.2,OIL,-81.6292,35.3264,POINT (-81.6292 35.3264),darkviolet,1,DUKE ENERGY CAROLINAS
6882,PP_56063,Duke Energy Carolinas,DUK,1.8,OIL,-81.5225,35.3036,POINT (-81.52249999999999 35.3036),darkviolet,1,DUKE ENERGY CAROLINAS
6886,PP_60108,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.505606,35.258647,POINT (-81.505606 35.258647),yellow,1,DUKE ENERGY CAROLINAS
6887,PP_58861,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.243333,35.612222,POINT (-81.24333300000001 35.612222),yellow,1,DUKE ENERGY CAROLINAS
6888,PP_61019,Duke Energy Progress East,CPLE,5.0,SOLAR,-79.449675,35.747372,POINT (-79.449675 35.747372),yellow,1,DUKE ENERGY CAROLINAS
6889,PP_64121,Duke Energy Progress East,CPLE,4.9,SOLAR,-79.465408,35.688107,POINT (-79.465408 35.688107),yellow,1,DUKE ENERGY CAROLINAS
6896,PP_60367,Duke Energy Progress East,CPLE,5.2,SOLAR,-79.42346,35.86267,POINT (-79.42346000000001 35.86267),yellow,1,DUKE ENERGY CAROLINAS
6907,PP_58829,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.183611,35.656667,POINT (-81.183611 35.656667),yellow,1,DUKE ENERGY CAROLINAS
6908,PP_58745,Duke Energy Carolinas,DUK,4.5,SOLAR,-81.696944,35.305,POINT (-81.696944 35.305),yellow,1,DUKE ENERGY CAROLINAS
6913,PP_60409,Duke Energy Carolinas,DUK,5.2,SOLAR,-80.302,36.0288,POINT (-80.30200000000001 36.0288),yellow,1,DUKE ENERGY CAROLINAS
6915,PP_62821,Duke Energy Carolinas,DUK,22.6,SOLAR,-80.536,35.218,POINT (-80.536 35.218),yellow,1,DUKE ENERGY CAROLINAS
6916,PP_61220,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.407853,35.712886,POINT (-80.407853 35.712886),yellow,1,DUKE ENERGY CAROLINAS
6924,PP_58746,Duke Energy Carolinas,DUK,5.0,SOLAR,-78.823889,36.08,POINT (-78.82388899999999 36.08),yellow,1,DUKE ENERGY CAROLINAS
6926,PP_56552,Duke Energy Carolinas,DUK,2.2,OIL,-80.8542,35.7972,POINT (-80.85420000000001 35.7972),darkviolet,1,DUKE ENERGY CAROLINAS
6927,PP_61535,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.712405,35.739704,POINT (-80.712405 35.739704),yellow,1,DUKE ENERGY CAROLINAS
6928,PP_56062,Duke Energy Carolinas,DUK,1.8,OIL,-80.942709,35.798462,POINT (-80.94270899999999 35.798462),darkviolet,1,DUKE ENERGY CAROLINAS
6929,PP_59595,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.106111,35.902222,POINT (-81.106111 35.902222),yellow,1,DUKE ENERGY CAROLINAS
6931,PP_59581,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.199722,36.079167,POINT (-79.19972199999999 36.079167),yellow,1,DUKE ENERGY CAROLINAS
6932,PP_63270,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.79,35.6,POINT (-79.79000000000001 35.6),yellow,1,DUKE ENERGY CAROLINAS
6934,PP_63807,Duke Energy Carolinas,DUK,60.0,SOLAR,-80.6574,36.1607,POINT (-80.6574 36.1607),yellow,1,DUKE ENERGY CAROLINAS
6943,PP_58864,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.735833,35.558056,POINT (-78.735833 35.558056),yellow,1,DUKE ENERGY CAROLINAS
6949,PP_60691,Duke Energy Progress East,CPLE,5.0,SOLAR,-79.784627,35.7527,POINT (-79.784627 35.7527),yellow,1,DUKE ENERGY CAROLINAS
6953,PP_57402,Duke Energy Carolinas,DUK,1.2,SOLAR,-81.152498,35.909074,POINT (-81.15249799999999 35.909074),yellow,1,DUKE ENERGY CAROLINAS
6954,PP_2749,Duke Energy Carolinas,DUK,10.8,HYDRO,-83.0028,35.2139,POINT (-83.00279999999999 35.2139),royalblue,1,DUKE ENERGY CAROLINAS
6957,PP_2750,Duke Energy Carolinas,DUK,21.6,HYDRO,-83.125398,35.233988,POINT (-83.125398 35.233988),royalblue,1,DUKE ENERGY CAROLINAS
6959,PP_65111,Duke Energy Progress East,CPLE,2.6,SOLAR,-79.78992,35.75101,POINT (-79.78992 35.75101),yellow,1,DUKE ENERGY CAROLINAS
6960,PP_59217,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.416944,35.903333,POINT (-80.416944 35.903333),yellow,1,DUKE ENERGY CAROLINAS
6963,PP_65550,Duke Energy Progress East,CPLE,4.8,SOLAR,-79.136921,35.688268,POINT (-79.136921 35.688268),yellow,1,DUKE ENERGY CAROLINAS
6969,PP_60291,Duke Energy Carolinas,DUK,5.0,SOLAR,-79.9282,35.87025,POINT (-79.9282 35.87025),yellow,1,DUKE ENERGY CAROLINAS
6970,PP_61086,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.774867,35.734972,POINT (-80.774867 35.734972),yellow,1,DUKE ENERGY CAROLINAS
6973,PP_2751,Duke Energy Carolinas,DUK,3.0,HYDRO,-83.128111,35.247011,POINT (-83.128111 35.247011),royalblue,1,DUKE ENERGY CAROLINAS
6974,PP_54897,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,42.0,HYDRO,-80.1758,35.4856,POINT (-80.1758 35.4856),royalblue,1,DUKE ENERGY CAROLINAS
6977,PP_2735,Duke Energy Carolinas,DUK,5.4,HYDRO,-82.186369,35.334767,POINT (-82.186369 35.334767),royalblue,1,DUKE ENERGY CAROLINAS
6978,PP_2736,Duke Energy Carolinas,DUK,5.0,HYDRO,-82.389371,35.245006,POINT (-82.389371 35.245006),royalblue,1,DUKE ENERGY CAROLINAS
6981,PP_58348,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.326667,35.629167,POINT (-81.326667 35.629167),yellow,1,DUKE ENERGY CAROLINAS
6985,PP_54276,Duke Energy Carolinas,DUK,32.0,COAL,-79.0617,35.9069,POINT (-79.0617 35.9069),grey,1,DUKE ENERGY CAROLINAS
6992,PP_63734,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.177116,35.878809,POINT (-81.177116 35.878809),yellow,1,DUKE ENERGY CAROLINAS
6993,PP_59190,Duke Energy Progress East,CPLE,2.0,SOLAR,-79.080278,35.823333,POINT (-79.08027800000001 35.823333),yellow,1,DUKE ENERGY CAROLINAS
6995,PP_60961,Duke Energy Carolinas,DUK,5.0,SOLAR,-80.4185,35.401091,POINT (-80.41849999999999 35.401091),yellow,1,DUKE ENERGY CAROLINAS
6998,PP_58863,Duke Energy Carolinas,DUK,5.0,SOLAR,-81.426111,35.352222,POINT (-81.42611100000001 35.352222),yellow,1,DUKE ENERGY CAROLINAS
6999,PP_62627,Duke Energy Progress East,CPLE,2.2,SOLAR,-80.122015,35.102174,POINT (-80.122015 35.102174),yellow,1,DUKE ENERGY CAROLINAS
7000,PP_61087,Duke Energy Progress East,CPLE,5.0,SOLAR,-80.09732,34.99115,POINT (-80.09732 34.99115),yellow,1,DUKE ENERGY CAROLINAS
7001,PP_60575,Duke Energy Progress East,CPLE,5.0,SOLAR,-80.093192,35.023406,POINT (-80.093192 35.023406),yellow,1,DUKE ENERGY CAROLINAS
7002,PP_60576,Duke Energy Progress East,CPLE,5.0,SOLAR,-80.051028,34.969356,POINT (-80.051028 34.969356),yellow,1,DUKE ENERGY CAROLINAS
7003,PP_61129,Duke Energy Progress East,CPLE,5.0,SOLAR,-80.028987,34.973863,POINT (-80.028987 34.973863),yellow,1,DUKE ENERGY CAROLINAS
7004,PP_58862,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.956739,36.458658,POINT (-78.956739 36.458658),yellow,1,DUKE ENERGY CAROLINAS
7005,PP_59688,Duke Energy Progress East,CPLE,9.0,BIOMASS,-78.854,35.674,POINT (-78.854 35.674),forestgreen,1,DUKE ENERGY CAROLINAS
7006,PP_61536,Duke Energy Progress East,CPLE,5.0,SOLAR,-78.312403,35.814236,POINT (-78.312403 35.814236),yellow,1,DUKE ENERGY CAROLINAS
