,n_29228,n_28505,n_6652,n_29011
140,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
141,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
142,2303.500146248435,2081.934995495548,2108.1945689181125,889.370289337904
143,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
144,2303.812146810029,2082.216985878251,2108.480116062758,889.4907512489615
145,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
146,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
147,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
148,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
149,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
150,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
151,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
152,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
153,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
154,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
155,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
156,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
157,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
158,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
159,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
160,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
161,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
162,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
163,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
164,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
165,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
166,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
167,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
168,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
169,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
170,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
171,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
172,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
173,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
174,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
175,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
176,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
177,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
178,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
179,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
180,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
181,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
182,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
183,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
184,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
185,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
186,2299.444138947713,2078.26912052041,2104.48245603772,887.8042844941558
187,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
188,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
189,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
190,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
191,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
192,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
193,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
194,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
195,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
196,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
197,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
198,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
199,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
200,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
201,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
202,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
203,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
204,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
205,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
206,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
207,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
208,2284.4681119912016,2064.733582150671,2090.7761930947336,882.0221127633932
209,2294.764130523803,2074.0392647798667,2100.1992488680366,885.9973558282925
210,2294.764130523803,2074.0392647798667,2100.1992488680366,885.9973558282925
211,2294.140129400615,2073.475284014461,2099.6281545787456,885.7564320061774
212,2253.2680558318025,2036.5345438803802,2062.2214786301784,869.9759216576381
213,2246.7160440383286,2030.6127458436192,2056.2249885926217,867.4462215254296
214,2285.4041136759834,2065.5795532987795,2091.63283452867,882.383498496566
215,2291.956125469457,2071.5013513355407,2097.629324566227,884.9131986287745
216,2295.7001322085853,2074.8852359279754,2101.0558903019737,886.3587415614651
217,2295.388131646991,2074.6032455452723,2100.7703431573277,886.2382796504075
218,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
219,2298.1961367013373,2077.141158989599,2103.340267459138,887.3224368499256
220,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
221,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
222,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
223,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
224,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
225,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
226,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
227,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
228,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
229,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
230,2302.876145125247,2081.371014730142,2107.623474628821,889.1293655157888
231,2302.564144563653,2081.089024347439,2107.3379274841755,889.0089036047312
232,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
233,2302.252144002059,2080.8070339647365,2107.05238033953,888.8884416936737
234,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
235,2301.004141755683,2079.679072433925,2105.910191760948,888.4065940494435
236,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
237,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
238,2301.940143440465,2080.5250435820335,2106.7668331948844,888.7679797826162
239,2300.692141194089,2079.397082051222,2105.6246446163022,888.2861321383859
240,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
241,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
242,2300.068140070901,2078.833101285816,2105.053550327011,888.0452083162709
243,2300.380140632495,2079.1150916685187,2105.3390974716567,888.1656702273284
244,2299.756139509307,2078.551110903113,2104.7680031823656,887.9247464052133
245,2301.628142878871,2080.2430531993305,2106.481286050239,888.6475178715586
246,2301.316142317277,2079.961062816628,2106.1957389055933,888.5270559605011
