,n_23779,n_23847,n_28601
69,2.3364485981308416,4.579439252336449,3.08411214953271
70,2.1028037383177574,4.121495327102804,2.7757009345794392
71,2.1028037383177574,4.121495327102804,2.7757009345794392
72,1.869158878504673,3.6635514018691593,2.467289719626168
73,2.1028037383177574,4.121495327102804,2.7757009345794392
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,2.1028037383177574,4.121495327102804,2.7757009345794392
86,2.1028037383177574,4.121495327102804,2.7757009345794392
87,2.3364485981308416,4.579439252336449,3.08411214953271
88,2.3364485981308416,4.579439252336449,3.08411214953271
89,2.3364485981308416,4.579439252336449,3.08411214953271
90,2.3364485981308416,4.579439252336449,3.08411214953271
91,2.5700934579439254,5.037383177570094,3.392523364485981
92,2.1028037383177574,4.121495327102804,2.7757009345794392
93,2.1028037383177574,4.121495327102804,2.7757009345794392
94,2.1028037383177574,4.121495327102804,2.7757009345794392
95,2.1028037383177574,4.121495327102804,2.7757009345794392
96,2.1028037383177574,4.121495327102804,2.7757009345794392
97,1.869158878504673,3.6635514018691593,2.467289719626168
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,1.869158878504673,3.6635514018691593,2.467289719626168
110,2.1028037383177574,4.121495327102804,2.7757009345794392
111,2.1028037383177574,4.121495327102804,2.7757009345794392
112,2.1028037383177574,4.121495327102804,2.7757009345794392
113,2.1028037383177574,4.121495327102804,2.7757009345794392
114,2.1028037383177574,4.121495327102804,2.7757009345794392
115,2.1028037383177574,4.121495327102804,2.7757009345794392
116,2.1028037383177574,4.121495327102804,2.7757009345794392
117,2.1028037383177574,4.121495327102804,2.7757009345794392
