,name,typ,node,M2S_node,maxcap,Gen_MWh,Weights,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Long,Lat,geometry,index_right,NAME
90,PP_61676_CTG1,ngct,12439,n_12439,5.6,5.6,,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1,-78.67830688,35.77544505,POINT (-78.67830687999999 35.77544505),0,DUKE ENERGY PROGRESS EAST
91,PP_61676_CTG2,ngct,12439,n_12439,5.6,5.6,,14.03271841,2.128,3.17,11.58945374,392,5.6,1,1,-78.67830688,35.77544505,POINT (-78.67830687999999 35.77544505),0,DUKE ENERGY PROGRESS EAST
109,PP_7805_001,ngct,28663,n_28663,199.4,199.4,,8.586263318,75.772,3.17,252.5006416,13958,199.4,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
110,PP_7805_002,ngct,28663,n_28663,199.4,199.4,,11.71478183,75.772,3.17,344.5025872,13958,199.4,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
111,PP_7805_003,ngct,28663,n_28663,199.4,199.4,,9.632253189,75.772,3.17,283.2606012,13958,199.4,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
112,PP_7805_004,ngct,28663,n_28663,199.4,199.4,,12.37114605,75.772,3.17,363.8046259,13958,199.4,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
113,PP_7805_10,ngcc,28663,n_28663,191.2,191.2,,11.62520531,72.656,3.17,316.0715977,13384,191.2,6,6,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
114,PP_7805_6,ngct,28663,n_28663,199.4,199.4,,11.75552528,75.772,3.17,345.7007507,13958,199.4,1,1,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
115,PP_7805_7,ngcc,28663,n_28663,199.4,199.4,,11.13394722,75.772,3.17,315.6975884,13958,199.4,6,6,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
116,PP_7805_8,ngcc,28663,n_28663,199.4,199.4,,11.17414382,75.772,3.17,316.8373432,13958,199.4,6,6,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
117,PP_7805_9,ngcc,28663,n_28663,191.2,191.2,,11.67681469,72.656,3.17,317.474778,13384,191.2,6,6,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
118,PP_7805_ST4,ngcc,28663,n_28663,195.5,195.5,,7.676022526,74.29,3.17,213.3928946,13685,195.5,6,6,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
119,PP_7805_ST5,ngcc,28663,n_28663,271.1,271.1,,7.676022526,103.018,3.17,295.9120906,18977,271.1,6,6,-79.74728443,34.84297668,POINT (-79.74728442999999 34.84297668),0,DUKE ENERGY PROGRESS EAST
142,PP_10051_GEN1,hydro,30069,n_30069,10000.0,0.6,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.05817926,35.58721246,POINT (-79.05817926 35.58721246),0,DUKE ENERGY PROGRESS EAST
143,PP_10051_GEN2,hydro,30069,n_30069,10000.0,0.6,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.05817926,35.58721246,POINT (-79.05817926 35.58721246),0,DUKE ENERGY PROGRESS EAST
147,PP_10258_1,hydro,1851,n_1851,10000.0,1.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.09434511,35.92086673,POINT (-79.09434511000001 35.92086673),0,DUKE ENERGY PROGRESS EAST
148,PP_10258_2,hydro,1851,n_1851,10000.0,0.5,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.09434511,35.92086673,POINT (-79.09434511000001 35.92086673),0,DUKE ENERGY PROGRESS EAST
155,PP_2707_1,hydro,30525,n_30525,10000.0,3.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
156,PP_2707_2,hydro,30525,n_30525,10000.0,3.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
157,PP_2707_3,hydro,30525,n_30525,10000.0,3.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
158,PP_2707_4,hydro,30525,n_30525,10000.0,5.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
159,PP_2707_5,hydro,30525,n_30525,10000.0,5.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
160,PP_2707_6,hydro,30525,n_30525,10000.0,5.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
161,PP_2707_GT1,oil,30525,n_30525,17.5,17.5,,32.0,6.65,2.0,26.0095931,1225,17.5,1,1,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
162,PP_2707_GT2,oil,30525,n_30525,17.5,17.5,,48.0,6.65,2.0,39.01438965,1225,17.5,1,1,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
163,PP_2707_GT3,oil,30525,n_30525,17.5,17.5,,45.0,6.65,2.0,36.5759903,1225,17.5,1,1,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
164,PP_2707_GT4,oil,30525,n_30525,17.5,17.5,,39.0,6.65,2.0,31.69919159,1225,17.5,1,1,-79.92057919,34.97191269,POINT (-79.92057919 34.97191269),0,DUKE ENERGY PROGRESS EAST
167,PP_2714_1,hydro,15691,n_15691,10000.0,22.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.06224058,35.20746897,POINT (-80.06224057999999 35.20746897),0,DUKE ENERGY PROGRESS EAST
168,PP_2714_2,hydro,15691,n_15691,10000.0,18.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.06224058,35.20746897,POINT (-80.06224057999999 35.20746897),0,DUKE ENERGY PROGRESS EAST
169,PP_2714_3,hydro,15691,n_15691,10000.0,22.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.06224058,35.20746897,POINT (-80.06224057999999 35.20746897),0,DUKE ENERGY PROGRESS EAST
170,PP_2714_4,hydro,15691,n_15691,10000.0,22.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.06224058,35.20746897,POINT (-80.06224057999999 35.20746897),0,DUKE ENERGY PROGRESS EAST
208,PP_2758_1,hydro,2416,n_2416,10000.0,25.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-77.67076346,36.47464151,POINT (-77.67076346 36.47464151),0,DUKE ENERGY PROGRESS EAST
209,PP_2758_2,hydro,2416,n_2416,10000.0,25.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-77.67076346,36.47464151,POINT (-77.67076346 36.47464151),0,DUKE ENERGY PROGRESS EAST
210,PP_2758_3,hydro,2416,n_2416,10000.0,25.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-77.67076346,36.47464151,POINT (-77.67076346 36.47464151),0,DUKE ENERGY PROGRESS EAST
211,PP_2758_4,hydro,2416,n_2416,10000.0,25.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-77.67076346,36.47464151,POINT (-77.67076346 36.47464151),0,DUKE ENERGY PROGRESS EAST
256,PP_3270_1,hydro,17955,n_17955,10000.0,18.1,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.70230187,34.33459319,POINT (-80.70230187 34.33459319),0,DUKE ENERGY PROGRESS EAST
257,PP_3270_2,hydro,17955,n_17955,10000.0,18.1,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.70230187,34.33459319,POINT (-80.70230187 34.33459319),0,DUKE ENERGY PROGRESS EAST
258,PP_3270_3,hydro,17955,n_17955,10000.0,18.1,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.70230187,34.33459319,POINT (-80.70230187 34.33459319),0,DUKE ENERGY PROGRESS EAST
259,PP_3270_4,hydro,17955,n_17955,10000.0,18.1,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.70230187,34.33459319,POINT (-80.70230187 34.33459319),0,DUKE ENERGY PROGRESS EAST
260,PP_3270_5,hydro,17955,n_17955,10000.0,18.1,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.70230187,34.33459319,POINT (-80.70230187 34.33459319),0,DUKE ENERGY PROGRESS EAST
300,PP_54894_YN1,hydro,15692,n_15692,10000.0,24.7,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
301,PP_54894_YN2,hydro,15692,n_15692,10000.0,24.7,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
302,PP_54894_YN3,hydro,15692,n_15692,10000.0,29.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
303,PP_54894_YN4,hydro,15692,n_15692,10000.0,30.4,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
304,PP_54895_YF1,hydro,15692,n_15692,10000.0,9.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
305,PP_54895_YF2,hydro,15692,n_15692,10000.0,11.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
