,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
223,PP_3254_HC2,hydro,n_30976,DUK,5.0,0.0009544170420707032
224,PP_3254_HC3,hydro,n_30976,DUK,5.0,0.0009544170420707032
225,PP_3255_1,hydro,n_18271,DUK,15.0,0.0028632511262121096
226,PP_3255_2,hydro,n_18271,DUK,15.0,0.0028632511262121096
227,PP_3255_3,hydro,n_18271,DUK,15.0,0.0028632511262121096
228,PP_3256_1,hydro,n_28332,DUK,15.0,0.0028632511262121096
229,PP_3256_2,hydro,n_28332,DUK,15.0,0.0028632511262121096
230,PP_3256_3,hydro,n_28332,DUK,15.0,0.0028632511262121096
231,PP_3257_1,hydro,n_28332,DUK,9.3,0.001775215698251508
232,PP_3257_2,hydro,n_28332,DUK,8.8,0.0016797739940444378
233,PP_3257_3,hydro,n_28332,DUK,8.8,0.0016797739940444378
234,PP_3257_4,hydro,n_28332,DUK,9.4,0.001794304039092922
235,PP_3257_5,hydro,n_28332,DUK,6.0,0.0011453004504848438
236,PP_3258_3,hydro,n_4521,DUK,1.4,0.0002672367717797969
237,PP_3258_4,hydro,n_4521,DUK,1.4,0.0002672367717797969
238,PP_3258_5,hydro,n_4521,DUK,1.4,0.0002672367717797969
239,PP_3258_6,hydro,n_4521,DUK,2.5,0.0004772085210353516
240,PP_3259_1,hydro,n_28332,DUK,3.0,0.0005726502252424219
241,PP_3259_2,hydro,n_28332,DUK,3.0,0.0005726502252424219
242,PP_3259_5,hydro,n_28332,DUK,3.0,0.0005726502252424219
243,PP_3259_6,hydro,n_28332,DUK,3.0,0.0005726502252424219
244,PP_3261_1,hydro,n_10239,DUK,1.0,0.00019088340841414062
245,PP_3261_2,hydro,n_10239,DUK,1.0,0.00019088340841414062
246,PP_3261_3,hydro,n_10239,DUK,1.0,0.00019088340841414062
247,PP_3261_4,hydro,n_10239,DUK,1.0,0.00019088340841414062
248,PP_3262_1,hydro,n_275,DUK,193.5,0.036935939528136216
249,PP_3262_2,hydro,n_275,DUK,193.5,0.036935939528136216
250,PP_3262_3,hydro,n_275,DUK,193.5,0.036935939528136216
251,PP_3262_4,hydro,n_275,DUK,193.5,0.036935939528136216
252,PP_3267_1,hydro,n_28107,DUK,0.6,0.00011453004504848438
253,PP_3267_2,hydro,n_28107,DUK,0.6,0.00011453004504848438
254,PP_3267_3,hydro,n_28107,DUK,0.6,0.00011453004504848438
255,PP_3267_4,hydro,n_28107,DUK,0.6,0.00011453004504848438
256,PP_3270_1,hydro,n_17955,DUK,18.1,0.0034549896922959457
257,PP_3270_2,hydro,n_17955,DUK,18.1,0.0034549896922959457
258,PP_3270_3,hydro,n_17955,DUK,18.1,0.0034549896922959457
259,PP_3270_4,hydro,n_17955,DUK,18.1,0.0034549896922959457
260,PP_3270_5,hydro,n_17955,DUK,18.1,0.0034549896922959457
261,PP_3271_1,hydro,n_28108,DUK,15.0,0.0028632511262121096
262,PP_3271_2,hydro,n_28108,DUK,15.0,0.0028632511262121096
263,PP_3271_3,hydro,n_28108,DUK,15.0,0.0028632511262121096
264,PP_3271_4,hydro,n_28108,DUK,15.0,0.0028632511262121096
265,PP_3272_1,hydro,n_18262,DUK,3.0,0.0005726502252424219
266,PP_3272_2,hydro,n_18262,DUK,3.0,0.0005726502252424219
267,PP_3272_3,hydro,n_18262,DUK,3.0,0.0005726502252424219
268,PP_3272_4,hydro,n_18262,DUK,3.0,0.0005726502252424219
269,PP_3275_2,hydro,n_18262,DUK,4.2,0.0008017103153393907
270,PP_3275_HY1,hydro,n_18262,DUK,4.2,0.0008017103153393907
271,PP_3275_HY3,hydro,n_18262,DUK,4.2,0.0008017103153393907
272,PP_3275_HY4,hydro,n_18262,DUK,4.2,0.0008017103153393907
273,PP_3275_HY5,hydro,n_18262,DUK,1.2,0.00022906009009696876
274,PP_3289_1,hydro,n_18302,DUK,1.1,0.00020997174925555472
275,PP_3289_2,hydro,n_18302,DUK,1.1,0.00020997174925555472
276,PP_3289_3,hydro,n_18302,DUK,1.1,0.00020997174925555472
277,PP_3289_4,hydro,n_18302,DUK,1.1,0.00020997174925555472
278,PP_3290_1,hydro,n_9961,DUK,2.5,0.0004772085210353516
279,PP_3290_2,hydro,n_9961,DUK,2.5,0.0004772085210353516
280,PP_3290_4,hydro,n_9961,DUK,2.5,0.0004772085210353516
281,PP_3290_5,hydro,n_9961,DUK,2.5,0.0004772085210353516
282,PP_3290_6,hydro,n_9961,DUK,2.5,0.0004772085210353516
283,PP_3323_1,hydro,n_9984,DUK,51.7,0.009868672215011072
284,PP_3323_2,hydro,n_9984,DUK,51.7,0.009868672215011072
285,PP_3323_3,hydro,n_9984,DUK,51.7,0.009868672215011072
286,PP_3323_4,hydro,n_9984,DUK,51.7,0.009868672215011072
287,PP_3323_5,hydro,n_9984,DUK,51.7,0.009868672215011072
288,PP_3323_6,hydro,n_9984,DUK,51.7,0.009868672215011072
289,PP_3323_7,hydro,n_9984,DUK,51.7,0.009868672215011072
290,PP_50890_GEN1,hydro,n_28601,CPLE,0.2,0.0006150061500615006
291,PP_50890_GEN2,hydro,n_28601,CPLE,0.2,0.0006150061500615006
292,PP_50890_GEN3,hydro,n_28601,CPLE,0.2,0.0006150061500615006
293,PP_50890_GEN4,hydro,n_28601,CPLE,0.2,0.0006150061500615006
294,PP_52049_1H,hydro,n_4536,DUK,0.7,0.00013361838588989844
295,PP_52049_2V,hydro,n_4536,DUK,0.5,9.544170420707031e-05
296,PP_54675_DI2,oil,n_4536,DUK,2.0,0.01486988847583643
297,PP_54801_GEN1,hydro,n_7011,DUK,0.8,0.0001527067267313125
298,PP_54801_GEN2,hydro,n_7011,DUK,0.3,5.726502252424219e-05
299,PP_54801_GEN3,hydro,n_7011,DUK,0.1,1.9088340841414064e-05
