,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,Balancing Authority Code,index_right,BA_ID,nearest_node,distance_to_nearest_node
6588,PP_60052,1.9,SOLAR,-81.413308,35.70974,POINT (-81.413308 35.70974),yellow,DUK,240,DUK,n_10014,0.01200278624962373
6589,PP_60540,35.0,SOLAR,-78.755394,34.539425,POINT (-78.755394 34.539425),yellow,DUK,652,CPLE,n_9820,0.024873509428633003
6590,PP_61258,1.9,SOLAR,-77.825,35.046,POINT (-77.825 35.046),yellow,CPLE,675,CPLE,n_16404,0.020610481443327926
6591,PP_59665,100.0,SOLAR,-79.943889,34.838297,POINT (-79.943889 34.838297),yellow,DUK,557,Overlapping,n_29024,0.13247878297535448
6592,PP_60539,71.0,SOLAR,-78.877359,34.847627,POINT (-78.877359 34.847627),yellow,DUK,532,CPLE,n_1924,0.10039009031997777
6593,PP_60149,50.8,SOLAR,-78.304811,34.529956,POINT (-78.304811 34.529956),yellow,DUK,660,CPLE,n_7062,0.11410174273951706
6594,PP_59675,4.9,SOLAR,-79.108,34.859,POINT (-79.108 34.859),yellow,DUK,214,CPLE,n_15226,0.030338231352537194
6595,PP_59671,78.5,SOLAR,-78.94355,34.918194,POINT (-78.94355 34.918194),yellow,DUK,534,CPLE,n_23793,0.06155342700527078
6596,PP_59666,33.8,SOLAR,-79.332447,34.801933,POINT (-79.332447 34.801933),yellow,DUK,430,CPLE,n_9852,0.08732383067251731
6597,PP_59667,4.9,SOLAR,-79.30235,34.711628,POINT (-79.30235 34.711628),yellow,DUK,876,CPLE,n_23777,0.07557983062373694
6598,PP_59669,50.0,SOLAR,-77.712408,35.213697,POINT (-77.712408 35.213697),yellow,DUK,566,CPLE,n_9873,0.03208417929160861
6599,PP_59676,6.5,SOLAR,-79.216,34.695,POINT (-79.216 34.695),yellow,DUK,877,CPLE,n_23777,0.0637851390563133
6600,PP_61259,1.9,SOLAR,-77.97928,36.094719,POINT (-77.97928 36.094719),yellow,CPLE,707,CPLE,n_9858,0.042641539101134086
6601,PP_59542,3.6,SOLAR,-82.710278,35.6575,POINT (-82.710278 35.6575),yellow,CPLE,17,Overlapping,n_28601,0.14089632214480713
6602,PP_61260,1.9,SOLAR,-77.992,36.091,POINT (-77.992 36.091),yellow,DUK,707,CPLE,n_9858,0.029794682661403324
6603,PP_60053,4.9,SOLAR,-77.620395,35.39169,POINT (-77.620395 35.39169),yellow,DUK,798,CPLE,n_9873,0.16828565786885522
6604,PP_59677,4.9,SOLAR,-78.329675,35.041048,POINT (-78.329675 35.041048),yellow,DUK,478,CPLE,n_17072,0.021097958949222943
6605,PP_60398,4.9,SOLAR,-79.5,34.7587,POINT (-79.5 34.7587),yellow,DUK,229,CPLE,n_29001,0.026534712856910437
6606,PP_59678,33.3,SOLAR,-78.005377,34.623309,POINT (-78.005377 34.623309),yellow,DUK,179,CPLE,n_17163,0.01280398923060046
6607,PP_54656,51.5,BIOMASS,-78.2137,34.3533,POINT (-78.2137 34.3533),forestgreen,CPLE,586,CPLE,n_6687,0.030835499294354033
6608,PP_56962,3.2,BIOMASS,-80.826001,35.769281,POINT (-80.826001 35.769281),forestgreen,DUK,893,DUK,n_9412,0.12473175401046797
6609,PP_50890,1.2,HYDRO,-82.61827,35.771627,POINT (-82.61827 35.771627),royalblue,CPLE,816,CPLW,n_28601,0.23472859881717578
6610,PP_61292,10.0,SOLAR,-77.83,35.75,POINT (-77.83 35.75),yellow,CPLE,745,CPLE,n_28954,0.04451341160940637
6611,PP_59503,5.0,SOLAR,-79.6214,36.2922,POINT (-79.6214 36.2922),yellow,DUK,349,DUK,n_28710,0.09896853147130137
