,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2,Total_Capacity,Weight
537,PP_60129,2.0,SOLAR,-78.370875,35.604208,POINT (-78.370875 35.604208),yellow,DUK,417,CPLE,n_6904,n_6904,No,DUK,0.045902595,0.045902595,2361.4,0.0008469551960701278
538,PP_62131,2.0,SOLAR,-78.297336,35.557397,POINT (-78.297336 35.557397),yellow,CPLE,416,CPLE,n_6903,n_6903,No,CPLE,0.019395239,0.019395239,2632.4,0.000759762953958365
539,PP_62204,2.0,SOLAR,-78.302297,35.572873,POINT (-78.302297 35.572873),yellow,CPLE,416,CPLE,n_6903,n_6903,No,CPLE,0.033667891,0.033667891,2632.4,0.000759762953958365
540,PP_59114,2.0,SOLAR,-80.665833,35.710833,POINT (-80.665833 35.710833),yellow,DUK,769,DUK,n_4473,n_4473,No,DUK,0.065960227,0.065960227,2361.4,0.0008469551960701278
541,PP_58865,3.5,BIOMASS,-80.998889,35.294444,POINT (-80.998889 35.294444),forestgreen,DUK,134,DUK,n_30415,n_30415,No,DUK,0.036889762,0.036889762,94.3,0.03711558854718982
542,PP_2730,25.5,HYDRO,-81.437773,35.774234,POINT (-81.437773 35.774234),royalblue,DUK,40,DUK,n_14194,n_14194,No,DUK,0.000427374,0.000427374,5094.8,0.005005103242521787
543,PP_65583,1.9,SOLAR,-77.637943,34.784644,POINT (-77.637943 34.784644),yellow,CPLE,279,CPLE,n_9836,n_9836,No,CPLE,0.000995303,0.000995303,2632.4,0.0007217748062604466
544,PP_7805,2244.8,GAS,-79.7406,34.8392,POINT (-79.7406 34.8392),red,CPLE,618,CPLE,n_28663,n_28663,No,CPLE,0.007677559,0.007677559,5514.3,0.4070870282719475
545,PP_65110,2.0,SOLAR,-79.57982,35.86546,POINT (-79.57982 35.86546),yellow,CPLE,909,Overlapping,n_28211,n_28211,No,CPLE,0.076636912,0.076636912,2632.4,0.000759762953958365
546,PP_2758,100.0,HYDRO,-77.6722,36.4789,POINT (-77.6722 36.4789),royalblue,PJM,2,CPLE,n_2416,n_2416,No,CPLE,0.004494261,0.004494261,548.8,0.18221574344023325
547,PP_59763,2.0,BIOMASS,-78.9088,34.791,POINT (-78.9088 34.791),forestgreen,CPLE,212,CPLE,n_7092,n_7092,No,CPLE,0.111089345,0.111089345,806.5,0.0024798512089274642
548,PP_60165,3.8,SOLAR,-78.081389,35.264418,POINT (-78.081389 35.264418),yellow,DUK,803,CPLE,n_18868,n_18868,No,DUK,0.043926396,0.043926396,2361.4,0.0016092148725332428
549,PP_58347,5.0,SOLAR,-79.609722,34.965556,POINT (-79.609722 34.965556),yellow,CPLE,618,CPLE,n_9886,n_9886,No,CPLE,0.093084815,0.093084815,2632.4,0.0018994073848959123
550,PP_55116,977.5,GAS,-79.8297,36.3297,POINT (-79.8297 36.3297),red,DUK,320,DUK,n_7011,n_7011,No,DUK,0.003466027,0.003466027,12884.5,0.07586635104194962
551,PP_60106,5.0,SOLAR,-79.603732,34.980661,POINT (-79.603732 34.980661),yellow,DUK,616,CPLE,n_9886,n_9886,No,DUK,0.107193647,0.107193647,2361.4,0.0021173879901753194
552,PP_58668,3.5,SOLAR,-80.474722,35.541667,POINT (-80.474722 35.541667),yellow,DUK,770,DUK,n_28700,n_28700,No,DUK,0.009629322,0.009629322,2361.4,0.0014821715931227237
553,PP_50468,1.6,HYDRO,-77.802435,35.960058,POINT (-77.802435 35.960058),royalblue,CPLE,752,CPLE,n_11856,n_11856,No,CPLE,0.018306531,0.018306531,548.8,0.002915451895043732
554,PP_60761,5.0,SOLAR,-81.440717,35.187475,POINT (-81.440717 35.187475),yellow,DUK,268,DUK,n_30852,n_30852,No,DUK,0.026409543,0.026409543,2361.4,0.0021173879901753194
555,PP_59375,2.0,SOLAR,-77.969722,34.823889,POINT (-77.969722 34.823889),yellow,CPLE,57,CPLE,n_9869,n_9869,No,CPLE,0.005848005,0.005848005,2632.4,0.000759762953958365
556,PP_50555,180.0,OIL,-77.6594,36.4517,POINT (-77.6594 36.4517),darkviolet,PJM,2,CPLE,n_10054,n_10054,No,CPLE,0.001287365,0.001287365,498.4,0.36115569823434995
557,PP_61520,2.0,SOLAR,-78.10709,35.4375,POINT (-78.10709 35.4375),yellow,CPLE,802,CPLE,n_6907,n_6907,No,CPLE,0.002883652,0.002883652,2632.4,0.000759762953958365
558,PP_2712,2558.2,COAL,-79.0731,36.4833,POINT (-79.0731 36.4833),grey,CPLE,359,CPLE,n_1514,n_1514,No,CPLE,0.002517873,0.002517873,4581.4,0.5583882655956695
559,PP_58340,5.0,SOLAR,-78.917364,36.4797,POINT (-78.917364 36.4797),yellow,CPLE,835,CPLE,n_7559,n_7559,No,CPLE,0.011329351,0.011329351,2632.4,0.0018994073848959123
560,PP_61288,5.0,SOLAR,-78.622242,36.326821,POINT (-78.622242 36.326821),yellow,CPLE,342,Overlapping,n_10707,n_10707,No,CPLE,0.030875032,0.030875032,2632.4,0.0018994073848959123
561,PP_59831,4.9,SOLAR,-78.689,35.216,POINT (-78.689 35.216),yellow,CPLE,755,CPLE,n_6902,n_6902,No,CPLE,0.123167694,0.123167694,2632.4,0.0018614192371979943
562,PP_62594,22.0,SOLAR,-81.7634,35.32062,POINT (-81.7634 35.32062),yellow,DUK,510,DUK,n_15512,n_15512,No,DUK,0.061564779,0.061564779,2361.4,0.009316507156771407
563,PP_60922,2.0,SOLAR,-78.022,35.274,POINT (-78.022 35.274),yellow,CPLE,803,CPLE,n_9488,n_9488,No,CPLE,0.016206416,0.016206416,2632.4,0.000759762953958365
564,PP_59589,74.8,SOLAR,-81.830556,35.257778,POINT (-81.830556 35.257778),yellow,DUK,515,DUK,n_15512,n_15512,No,DUK,0.036808969,0.036808969,2361.4,0.03167612433302278
565,PP_62596,5.0,SOLAR,-78.135,35.819,POINT (-78.135 35.819),yellow,CPLE,760,CPLE,n_6890,n_6890,No,CPLE,0.147920923,0.147920923,2632.4,0.0018994073848959123
566,PP_62102,5.0,SOLAR,-78.658,34.44,POINT (-78.658 34.44),yellow,CPLE,612,CPLE,n_7089,n_7089,No,CPLE,0.116669576,0.116669576,2632.4,0.0018994073848959123
567,PP_54984,4.5,BIOMASS,-80.183458,36.191241,POINT (-80.183458 36.191241),forestgreen,DUK,550,DUK,n_28667,n_28667,No,DUK,0.027859606,0.027859606,94.3,0.04772004241781548
568,PP_61128,3.8,SOLAR,-80.422626,35.632585,POINT (-80.422626 35.632585),yellow,DUK,808,DUK,n_6685,n_6685,No,DUK,0.090346649,0.090346649,2361.4,0.0016092148725332428
569,PP_58805,5.0,SOLAR,-79.695,35.311667,POINT (-79.695 35.311667),yellow,DUK,615,CPLE,n_14626,n_14626,No,DUK,0.102628613,0.102628613,2361.4,0.0021173879901753194
570,PP_57492,9.6,BIOMASS,-78.4625,34.9856,POINT (-78.4625 34.9856),forestgreen,CPLE,827,CPLE,n_13956,n_13956,No,CPLE,0.121730692,0.121730692,806.5,0.011903285802851828
571,PP_61096,2.0,SOLAR,-78.470536,34.961039,POINT (-78.470536 34.961039),yellow,CPLE,858,CPLE,n_13956,n_13956,No,CPLE,0.136468385,0.136468385,2632.4,0.000759762953958365
572,PP_58491,1.2,SOLAR,-77.954167,35.868333,POINT (-77.954167 35.868333),yellow,CPLE,705,CPLE,n_6888,n_6888,No,CPLE,0.056733296,0.056733296,2632.4,0.000455857772375019
573,PP_54898,45.0,HYDRO,-83.863889,35.4475,POINT (-83.863889 35.4475),royalblue,TVA,849,DUK,n_7798,n_1063,Yes,DUK,0.769724342,0.419195907,5094.8,0.008832535133861976
