Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2
PP_60133,5,SOLAR,-78.151987,36.095572,POINT (-78.151987 36.095572),yellow,DUK,773,CPLE,n_9858,n_9858,No,DUK,0.136717356,0.136717356
PP_56344,1.8,OIL,-81.748075,35.729,POINT (-81.748075 35.729),darkviolet,DUK,695,DUK,n_13843,n_13843,No,DUK,0.000718142,0.000718142
PP_56064,1.8,OIL,-81.66243,35.7208,POINT (-81.66243 35.7208),darkviolet,DUK,695,DUK,n_31224,n_31224,No,DUK,0.000301363,0.000301363
PP_61881,2,SOLAR,-79.742842,35.546315,POINT (-79.742842 35.546315),yellow,CPLE,781,Overlapping,n_6692,n_6692,No,CPLE,0.177970146,0.177970146
PP_59107,5,SOLAR,-78.081667,35.201944,POINT (-78.081667 35.201944),yellow,CPLE,803,CPLE,n_18868,n_18868,No,CPLE,0.018609728,0.018609728
PP_59908,2,SOLAR,-78.098,35.18,POINT (-78.098 35.18),yellow,CPLE,803,CPLE,n_9876,n_9876,No,CPLE,0.013418269,0.013418269
PP_2728,60,HYDRO,-80.9867,35.3339,POINT (-80.9867 35.3339),royalblue,DUK,14,DUK,n_30415,n_30415,No,DUK,0.007929051,0.007929051
PP_58345,5,SOLAR,-78.069722,35.218056,POINT (-78.069722 35.218056),yellow,CPLE,803,CPLE,n_18868,n_18868,No,CPLE,0.013358328,0.013358328
PP_59645,5,SOLAR,-78.096944,35.181111,POINT (-78.096944 35.181111),yellow,CPLE,803,CPLE,n_9876,n_9876,No,CPLE,0.013820016,0.013820016
PP_59509,4,SOLAR,-78.5206,35.6633,POINT (-78.5206 35.6633),yellow,CPLE,158,CPLE,n_22818,n_22818,No,CPLE,0.054293528,0.054293528
PP_57677,1,SOLAR,-84.157254,34.999167,POINT (-84.157254 34.999167),yellow,DUK,372,DUK,n_1081,n_1063,Yes,DUK,0.875732169,0.118062502
PP_55002,2.4,OIL,-78.1583,34.9944,POINT (-78.1583 34.9944),darkviolet,CPLE,875,CPLE,n_23789,n_23789,No,CPLE,0.043342844,0.043342844
PP_61533,5,SOLAR,-79.57597,35.416167,POINT (-79.57597 35.416167),yellow,CPLE,591,CPLE,n_9994,n_9994,No,CPLE,0.179856862,0.179856862
PP_2747,43.2,HYDRO,-83.6762,35.2715,POINT (-83.6762 35.2715),royalblue,DUK,361,DUK,n_13721,n_1063,Yes,DUK,0.541322537,0.46149636
PP_54894,108.8,HYDRO,-80.0917,35.4189,POINT (-80.0917 35.4189),royalblue,YAD,677,CPLE,n_15692,n_15692,No,CPLE,0.034415422,0.034415422
PP_58854,5,SOLAR,-78.030833,36.047222,POINT (-78.030833 36.047222),yellow,CPLE,691,CPLE,n_9858,n_9858,No,CPLE,0.030740099,0.030740099
PP_58855,5,SOLAR,-78.0925,35.949444,POINT (-78.0925 35.949444),yellow,CPLE,698,CPLE,n_9858,n_9858,No,CPLE,0.146237956,0.146237956
PP_64118,4.9,SOLAR,-78.2162,35.8503,POINT (-78.2162 35.8503),yellow,DUK,706,CPLE,n_12414,n_12414,No,DUK,0.091052125,0.091052125
PP_60408,5.2,SOLAR,-78.21152,35.84927,POINT (-78.21152 35.84927),yellow,DUK,706,CPLE,n_12414,n_12414,No,DUK,0.094217146,0.094217146
PP_60134,2,SOLAR,-78.010611,36.034354,POINT (-78.010611 36.034354),yellow,DUK,691,CPLE,n_9858,n_9858,No,DUK,0.040747664,0.040747664
PP_61610,74.8,SOLAR,-80.4975,35.2925,POINT (-80.4975 35.2925),yellow,DUK,88,DUK,n_15777,n_15777,No,DUK,0.066489425,0.066489425
PP_10382,34.7,BIOMASS,-78.9968,34.59,POINT (-78.9968 34.59),forestgreen,CPLE,421,CPLE,n_6668,n_6668,No,CPLE,0.00029905,0.00029905
PP_56249,343.8,GAS,-79.921738,34.968651,POINT (-79.921738 34.968651),red,CPLE,504,Overlapping,n_29024,n_29024,No,CPLE,0.001948619,0.001948619
PP_56292,343.8,GAS,-79.736087,34.842311,POINT (-79.736087 34.842311),red,CPLE,618,CPLE,n_28663,n_28663,No,CPLE,0.0112172,0.0112172
PP_61676,11.2,GAS,-78.674704,35.784027,POINT (-78.674704 35.784027),red,CPLE,196,Overlapping,n_12439,n_12439,No,CPLE,0.009307557,0.009307557
PP_61675,6.6,GAS,-78.673723,35.775583,POINT (-78.673723 35.775583),red,CPLE,196,Overlapping,n_12439,n_12439,No,CPLE,0.004585955,0.004585955
PP_60072,2,SOLAR,-81.568878,35.289757,POINT (-81.568878 35.289757),yellow,DUK,268,DUK,n_4496,n_4496,No,DUK,0.040415621,0.040415621
PP_58524,1.1,SOLAR,-78.498889,35.714444,POINT (-78.498889 35.714444),yellow,DUK,192,Overlapping,n_7597,n_7597,No,DUK,0.005928293,0.005928293
PP_56688,5.4,BIOMASS,-77.2267,35.1681,POINT (-77.2267 35.1681),forestgreen,CPLE,98,CPLE,n_9483,n_9483,No,CPLE,0.070461652,0.070461652
PP_58339,5,SOLAR,-77.056725,35.209564,POINT (-77.056725 35.209564),yellow,CPLE,96,CPLE,n_9867,n_9867,No,CPLE,0.080295883,0.080295883
PP_59835,1.9,SOLAR,-78.367439,35.251628,POINT (-78.367439 35.251628),yellow,CPLE,855,CPLE,n_28999,n_28999,No,CPLE,0.001081737,0.001081737
PP_58741,5,SOLAR,-79.548056,35.991111,POINT (-79.548056 35.991111),yellow,CPLE,163,DUK,n_1575,n_1575,No,CPLE,0.111146213,0.111146213
PP_64119,4.9,SOLAR,-77.988,34.7457,POINT (-77.988 34.7457),yellow,CPLE,57,CPLE,n_9418,n_9418,No,CPLE,0.024077053,0.024077053
PP_62205,5.3,SOLAR,-77.987375,34.747103,POINT (-77.987375 34.747103),yellow,CPLE,57,CPLE,n_9418,n_9418,No,CPLE,0.025234016,0.025234016
PP_59501,5,SOLAR,-78.313889,35.486944,POINT (-78.313889 35.486944),yellow,CPLE,61,CPLE,n_6906,n_6906,No,CPLE,0.026940219,0.026940219
PP_61778,20,SOLAR,-77.624,36.213,POINT (-77.624 36.213),yellow,PJM,0,CPLE,n_10053,n_10053,No,CPLE,0.074513985,0.074513985
PP_58531,2,SOLAR,-79.525833,34.704722,POINT (-79.525833 34.704722),yellow,CPLE,362,CPLE,n_9848,n_9848,No,CPLE,0.029802267,0.029802267
PP_58880,4.9,SOLAR,-79.559722,34.766667,POINT (-79.559722 34.766667),yellow,DUK,362,CPLE,n_9881,n_9881,No,DUK,0.044372433,0.044372433
PP_60651,5,SOLAR,-78.038319,36.070336,POINT (-78.038319 36.070336),yellow,CPLE,691,CPLE,n_9858,n_9858,No,CPLE,0.021856793,0.021856793
PP_60992,2,SOLAR,-77.719745,36.433289,POINT (-77.719745 36.433289),yellow,PJM,2,CPLE,n_10054,n_10054,No,CPLE,0.06184222,0.06184222
PP_58851,5,SOLAR,-79.538333,34.795833,POINT (-79.538333 34.795833),yellow,DUK,362,CPLE,n_9881,n_9881,No,DUK,0.008207835,0.008207835
PP_61534,2,SOLAR,-81.812045,35.297715,POINT (-81.812045 35.297715),yellow,DUK,515,DUK,n_15512,n_15512,No,DUK,0.008061947,0.008061947
PP_59519,3.5,SOLAR,-81.134167,35.711667,POINT (-81.134167 35.711667),yellow,DUK,35,DUK,n_15632,n_15632,No,DUK,0.121196866,0.121196866
PP_64522,2.3,SOLAR,-79.788,35.713,POINT (-79.788 35.713),yellow,CPLE,898,Overlapping,n_6692,n_6692,No,CPLE,0.034586532,0.034586532
PP_60600,5.3,SOLAR,-80.48191,34.95233,POINT (-80.48191 34.95233),yellow,DUK,300,DUK,n_15782,n_15782,No,DUK,0.090429744,0.090429744
PP_61094,5,SOLAR,-79.513928,34.817836,POINT (-79.513928 34.817836),yellow,CPLE,360,CPLE,n_9881,n_9881,No,CPLE,0.02481083,0.02481083
PP_58558,2,BIOMASS,-77.543056,34.7975,POINT (-77.543056 34.7975),forestgreen,DUK,712,CPLE,n_23773,n_23773,No,DUK,0.03895802,0.03895802
PP_58638,5.2,BIOMASS,-80.811667,35.2625,POINT (-80.811667 35.2625),forestgreen,DUK,113,DUK,n_28501,n_28501,No,DUK,0.067147023,0.067147023
PP_60284,5,SOLAR,-80.451125,35.525584,POINT (-80.451125 35.525584),yellow,DUK,426,DUK,n_28700,n_28700,No,DUK,0.029737408,0.029737408
PP_59999,3,SOLAR,-79.24481,36.084097,POINT (-79.24481 36.084097),yellow,DUK,173,Overlapping,n_1850,n_1850,No,DUK,0.20558752,0.20558752
PP_58742,5,SOLAR,-81.315278,35.586111,POINT (-81.315278 35.586111),yellow,DUK,716,DUK,n_30412,n_30412,No,DUK,0.04620033,0.04620033
